UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10007783,The University of Aberdeen,40,45,280,0,5,35,0,65,25,85,170,85,0,275,0,75,0,50,120,140,35,245,60,5,0,45,145,20,150,0,70,5,0,60,120,0,"2,455","3,970"
10007849,Abertay University,0,5,30,0,0,5,0,5,5,5,5,70,0,50,0,20,0,5,50,20,5,10,5,5,0,5,10,0,15,0,5,0,0,20,10,0,365,475
10007856,Aberystwyth University,5,5,100,0,5,10,0,5,0,15,10,40,0,45,0,55,0,10,55,35,10,10,10,0,0,15,240,5,15,0,10,0,0,25,5,0,765,"1,375"
10000080,Access to Music Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
10000291,Anglia Ruskin University,5,10,30,0,5,25,0,5,5,5,10,95,0,225,5,40,0,15,110,55,5,15,5,5,0,30,25,35,20,0,5,0,0,35,20,0,835,"2,720"
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15
10007759,Aston University,15,20,105,0,0,30,0,5,10,5,5,60,0,95,0,45,0,10,35,40,10,55,5,5,0,40,30,20,40,0,5,0,0,40,25,0,755,"2,530"
10007857,Bangor University,5,5,20,0,0,20,0,0,0,0,5,15,0,45,10,30,0,0,105,25,5,5,0,10,0,15,10,0,20,0,0,0,0,35,5,0,385,"2,295"
10000571,Bath Spa University,5,5,5,0,0,5,0,5,0,0,5,15,0,20,5,20,0,0,15,20,5,0,5,5,0,10,5,15,0,0,0,0,0,15,5,0,190,755
10007850,The University of Bath,25,75,85,0,0,115,0,15,15,5,10,225,0,135,5,130,0,20,55,110,0,40,20,15,0,50,35,35,40,0,5,0,0,145,20,0,"1,440","4,510"
10007152,University of Bedfordshire,5,10,35,0,5,45,0,10,5,10,0,30,0,40,5,85,0,5,40,30,15,20,0,5,0,10,35,70,155,0,10,0,0,20,0,0,695,"3,360"
10005343,Queen's University Belfast,5,0,10,0,0,5,0,0,0,0,0,20,0,35,0,20,0,0,755,20,0,0,0,0,0,10,10,10,5,0,0,0,0,20,10,0,940,"2,590"
10037544,BIMM University,0,5,0,0,0,5,0,5,0,0,0,15,0,10,5,0,0,0,10,5,0,5,0,0,0,0,0,5,0,0,0,0,0,10,5,0,85,105
10007760,Birkbeck College,10,10,20,0,5,15,0,15,15,10,10,35,0,75,0,80,0,10,30,150,10,10,5,10,0,10,60,25,30,0,15,5,0,55,15,0,720,"1,435"
10007140,Birmingham City University,10,5,45,0,0,140,0,5,15,20,5,15,0,30,0,20,0,5,65,25,15,35,0,0,0,15,30,15,110,0,5,0,0,25,10,0,660,"2,795"
10006840,The University of Birmingham,20,40,80,0,10,105,0,10,10,5,5,125,0,125,5,160,0,15,165,140,5,20,5,50,0,40,40,25,110,0,15,5,0,95,30,0,"1,455","8,295"
10000712,University College Birmingham,0,0,10,0,10,5,0,50,0,75,0,85,0,5,5,10,0,5,5,5,15,30,0,0,0,0,5,25,85,0,10,0,0,15,0,0,465,"1,175"
10007811,Bishop Grosseteste University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
10006841,The University of Bolton,0,0,5,0,0,60,0,0,0,0,0,5,0,45,0,25,0,0,5,0,0,0,0,0,0,5,5,10,5,0,0,0,0,5,0,0,190,540
10000385,The Arts University Bournemouth,5,10,10,0,0,5,0,0,0,5,0,15,0,10,5,10,0,5,5,15,15,5,0,0,0,5,5,15,10,0,5,0,0,10,5,0,175,430
10000824,Bournemouth University,10,35,115,0,5,35,0,10,15,25,50,35,0,95,5,30,0,10,35,105,35,45,0,15,0,65,20,30,20,0,10,0,0,40,45,0,940,"2,575"
10031982,BPP University,5,5,0,0,0,15,0,0,5,5,5,15,0,15,5,5,0,5,10,30,0,0,0,0,0,5,10,0,10,0,0,0,0,5,20,0,170,"1,010"
10007785,The University of Bradford,0,5,45,0,0,60,0,0,5,35,5,15,0,35,0,190,0,0,25,25,20,35,0,0,0,35,10,5,95,0,0,0,0,10,5,0,665,"1,940"
10000886,The University of Brighton,15,25,30,5,0,195,5,10,5,15,15,85,0,110,5,185,0,15,90,70,5,25,10,15,0,25,25,30,20,0,5,5,0,75,30,0,"1,145","2,910"
10007786,The University of Bristol,15,40,20,0,0,115,0,15,10,0,5,155,0,90,5,105,0,15,55,100,5,10,10,15,0,40,35,20,50,0,15,0,0,85,20,5,"1,045","4,915"
10028216,Brit College,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,5,5,180,0,0,0,0,0,0,0,220,220
10000961,Brunel University London,15,10,50,0,0,55,0,5,10,5,10,50,0,60,0,120,0,5,65,85,10,15,10,15,0,30,40,15,50,0,5,5,0,45,20,0,810,"4,385"
10000975,Buckinghamshire New University,5,5,5,0,0,5,0,5,10,0,0,25,0,15,5,10,0,0,200,30,0,5,0,0,0,10,90,5,5,0,0,0,0,5,5,0,455,810
10007787,The University of Buckingham,5,5,0,0,0,25,0,0,5,0,0,10,0,25,0,5,0,0,5,10,0,0,5,0,0,0,0,5,0,0,0,0,0,10,5,0,135,880
10022021,UK College of Business and Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007788,The University of Cambridge,75,75,45,0,15,95,0,45,40,15,30,245,0,495,5,100,0,65,115,215,10,60,20,5,0,115,130,35,110,0,25,15,0,100,60,0,"2,370","6,370"
10003324,The Institute of Cancer Research,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20
10001143,Canterbury Christ Church University,0,15,35,0,10,140,0,0,0,0,0,25,0,20,5,15,0,0,100,20,0,5,5,0,0,10,5,5,70,0,80,0,0,15,10,0,605,850
10007814,Cardiff University,20,30,90,5,5,85,0,5,5,5,10,145,0,105,15,215,0,10,110,115,5,25,15,15,0,40,55,30,35,0,5,10,0,85,15,15,"1,315","6,990"
10007854,Cardiff Metropolitan University,0,5,35,0,5,5,0,5,5,0,5,55,0,50,25,20,0,5,65,25,5,5,0,5,0,5,15,10,10,0,0,0,0,20,0,0,380,"4,720"
10007141,The University of Central Lancashire,20,5,5,0,0,85,0,5,5,10,10,25,0,95,5,40,0,5,75,15,30,45,5,10,0,10,15,20,10,0,5,0,0,55,10,0,635,"2,880"
10007848,University of Chester,0,5,5,0,0,15,0,0,5,0,0,20,0,35,10,15,0,0,65,15,0,0,5,10,0,10,10,0,5,0,5,0,0,20,5,0,250,"1,285"
10007137,The University of Chichester,0,5,0,0,0,0,0,0,0,0,0,5,0,5,5,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,55,140
