UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Mayotte,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10008071,AA School of Architecture,5,5,0,0,0,5,0,0,0,0,0,15,0,10,0,20,0,0,0,20,0,0,0,0,0,0,0,10,0,10,0,0,0,0,5,5,0,120,740
10007783,The University of Aberdeen,35,35,165,5,10,50,0,85,65,25,275,180,0,280,0,100,0,75,75,220,35,55,60,10,0,0,55,185,20,80,5,90,30,0,155,150,0,"2,600","5,150"
10007849,Abertay University,5,5,55,0,5,10,0,10,5,5,30,70,0,45,0,10,0,5,25,60,5,10,5,5,0,0,10,25,10,10,0,15,10,0,35,10,0,490,605
10007856,Aberystwyth University,5,10,25,0,20,5,0,10,5,10,10,35,0,25,0,40,0,25,40,25,5,10,10,0,0,0,15,485,5,15,0,20,5,0,30,5,0,905,"1,395"
10067853,ACM Guildford Limited,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,45,55
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
10000163,AECC University College,0,10,0,0,0,5,0,0,5,0,5,5,0,45,0,0,0,0,5,15,0,0,0,0,0,0,20,0,5,0,0,0,0,0,5,5,0,135,270
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10000291,Anglia Ruskin University,5,10,55,0,0,15,0,35,5,0,5,60,0,50,10,55,0,20,85,255,15,65,0,0,0,0,30,60,615,275,0,10,0,0,240,5,0,"1,995","4,675"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,25
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,25
10003212,Hult International Business School Ltd,30,35,10,0,0,0,0,5,10,0,10,110,0,155,0,10,0,0,5,205,0,10,0,0,0,0,20,20,30,10,0,0,5,0,75,30,0,795,"1,515"
