UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10014001,University of Suffolk,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,45,0,0,0,0,0,0,0,80,120
10007159,The University of Sunderland,0,0,95,0,0,200,0,10,0,0,0,10,0,15,0,130,0,5,55,10,0,75,0,0,0,0,45,15,90,0,0,0,0,5,0,0,765,"3,290"
10007160,The University of Surrey,25,30,55,5,5,245,0,10,20,15,5,70,0,60,5,185,0,10,40,105,0,30,15,15,0,25,25,20,50,0,10,0,0,85,15,0,"1,175","4,350"
10007806,The University of Sussex,25,55,20,0,5,85,0,10,10,5,10,135,0,100,0,170,0,25,20,145,15,10,35,0,0,30,20,35,25,0,5,5,0,70,20,0,"1,095","4,985"
10007855,Swansea University,5,10,15,0,0,70,0,5,5,5,5,35,0,45,5,115,0,5,40,45,5,5,10,5,0,15,30,10,20,0,5,0,0,55,10,0,590,"3,265"
10007161,Teesside University,0,5,5,0,0,10,0,5,5,0,0,10,0,15,5,20,0,5,60,10,0,5,0,5,0,10,5,5,30,0,0,0,0,30,30,0,280,"1,045"
10037822,Tottenham Hotspur Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
10008017,Trinity Laban Conservatoire of Music and Dance,0,5,0,0,0,10,0,0,0,0,10,20,0,10,0,15,0,5,5,40,0,0,0,5,0,5,5,0,5,0,0,5,0,20,5,0,175,260
10007858,University of Wales Trinity Saint David,0,0,5,0,0,5,0,0,5,0,5,10,0,15,10,20,0,0,55,10,0,0,0,0,0,0,5,5,10,0,0,0,0,10,5,0,180,690
10007114,University of the Highlands and Islands,5,5,5,0,0,0,0,5,5,5,10,20,0,25,0,10,0,10,15,20,0,0,0,0,0,5,10,0,0,0,5,5,0,15,5,0,185,275
