UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Mayotte,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10008071,AA School of Architecture,5,5,0,0,0,5,0,0,0,0,0,20,0,10,0,20,0,0,0,20,0,0,0,0,0,0,5,10,0,10,0,0,0,0,10,5,0,130,870
10007783,The University of Aberdeen,20,35,145,5,10,35,0,75,55,25,190,150,0,240,0,95,0,60,80,175,25,40,40,15,0,0,45,155,15,60,5,75,25,0,155,120,0,"2,160","4,825"
10007849,Abertay University,5,5,60,0,5,5,0,10,5,5,30,80,0,45,0,15,0,10,25,65,5,10,5,5,0,0,10,25,10,15,0,15,5,0,40,15,0,535,645
10007856,Aberystwyth University,0,10,25,0,20,5,0,20,5,10,10,30,0,30,0,45,0,15,35,20,5,10,10,0,0,0,20,480,10,15,0,30,0,0,50,5,0,920,"1,420"
10067853,ACM Guildford Limited,0,0,5,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,0,55,65
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
10000163,AECC University College,0,10,0,0,0,5,0,0,0,0,5,5,0,45,0,0,0,0,5,15,0,0,0,0,0,0,20,0,5,0,0,0,0,0,5,5,0,135,285
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000291,Anglia Ruskin University,5,10,60,0,5,25,0,30,5,5,5,55,0,50,10,100,0,20,105,295,20,70,0,5,0,0,30,80,765,340,0,5,0,0,310,5,0,"2,410","6,350"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25
10000381,Arts Educational Schools,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,35,50
10008899,The Ashridge (Bonar Law Memorial) Trust,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,5,5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,50,75
10003212,Hult International Business School Ltd,30,20,5,0,0,5,0,0,10,0,10,125,0,135,0,5,0,5,5,190,0,10,0,0,0,0,20,20,20,5,0,5,5,0,60,25,0,725,"1,515"
10007759,Aston University,10,15,20,0,5,15,0,5,5,0,5,65,0,35,0,40,0,0,15,65,5,5,5,0,0,0,20,30,20,15,0,0,0,0,35,10,0,430,"2,655"
10007857,Bangor University,5,10,15,0,5,15,0,15,5,0,5,75,0,30,5,35,0,0,65,25,5,0,5,5,0,0,10,30,5,30,0,15,0,0,30,5,0,455,"1,845"
