UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Mayotte,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10008071,AA School of Architecture,5,0,0,0,0,0,0,0,0,0,0,15,0,10,0,20,0,0,0,25,0,0,0,0,0,0,5,15,0,5,0,0,0,0,10,5,0,125,680
10007783,The University of Aberdeen,45,45,190,5,10,55,0,100,65,35,305,180,0,350,0,100,0,85,70,260,30,80,80,10,0,0,65,205,20,85,5,90,35,0,150,145,0,"2,900","5,235"
10007849,Abertay University,5,10,40,0,5,5,0,15,10,0,35,70,0,50,0,15,0,5,25,70,5,10,5,5,0,0,20,30,5,10,0,5,10,0,40,15,0,530,680
10007856,Aberystwyth University,0,5,30,0,10,5,0,5,5,10,15,40,0,25,0,45,0,20,40,35,5,5,10,0,0,0,15,510,5,10,0,10,5,0,35,10,0,900,"1,360"
10067853,ACM Guildford Limited,0,5,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,65,85
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15
10000163,AECC University College,0,15,0,0,0,0,0,0,0,0,5,5,0,35,0,0,0,0,5,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,5,0,105,225
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40
10000291,Anglia Ruskin University,10,10,35,0,0,20,0,15,10,5,5,65,0,50,10,70,0,20,90,170,10,45,0,0,0,0,35,50,525,105,0,10,5,0,180,10,0,"1,555","3,540"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,25
10007759,Aston University,15,25,30,0,0,20,0,10,10,5,10,115,0,95,0,45,0,5,20,60,10,15,10,0,0,0,55,35,20,25,0,0,5,0,75,25,0,740,"2,465"
