UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Mayotte,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10008071,AA School of Architecture,5,5,0,0,0,0,0,0,0,0,0,20,0,10,0,15,0,0,0,25,0,0,0,0,0,0,5,10,5,10,0,0,5,0,10,5,0,130,615
10007783,The University of Aberdeen,50,55,180,5,10,50,0,100,50,40,295,175,0,340,0,85,0,75,65,265,30,85,100,5,0,0,60,200,20,95,0,110,25,0,140,145,0,"2,865","4,780"
10007849,Abertay University,5,5,35,0,5,10,0,15,5,5,25,115,0,65,0,20,0,5,20,60,5,10,5,5,0,0,15,25,0,5,0,5,5,0,30,15,0,515,630
10007856,Aberystwyth University,0,5,40,0,5,5,0,0,0,5,10,40,0,35,0,40,0,25,55,45,5,5,10,5,0,0,15,450,10,10,0,5,5,0,35,10,0,870,"1,390"
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
10000163,AECC University College,0,10,0,0,0,0,0,0,0,0,5,0,0,25,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,5,0,75,175
10000291,Anglia Ruskin University,10,10,25,0,5,15,0,10,10,0,10,80,0,80,10,60,0,10,90,130,5,30,0,5,0,0,30,40,350,100,0,10,0,0,140,10,0,"1,270","3,070"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,20
10007759,Aston University,15,15,45,0,0,25,0,10,15,5,10,70,0,70,0,50,0,5,20,55,10,20,5,0,0,0,55,35,25,30,0,0,0,0,55,20,0,665,"2,430"
10007857,Bangor University,5,10,15,0,5,35,0,10,5,0,10,90,0,55,5,60,0,0,85,40,5,5,5,5,0,0,10,20,5,20,0,5,0,0,35,10,0,560,"2,495"
10000571,Bath Spa University,5,5,5,0,0,15,0,5,0,0,5,25,0,20,10,25,0,5,10,15,0,0,5,0,0,0,10,10,15,5,0,0,0,0,35,5,0,255,665
10007850,The University of Bath,30,85,95,0,0,125,0,15,10,5,10,325,0,155,10,145,0,25,35,170,5,25,35,10,0,0,50,50,50,65,0,5,0,0,200,20,0,"1,745","5,230"
10007152,University of Bedfordshire,0,5,35,0,10,35,0,10,5,5,0,15,0,25,0,135,0,10,60,30,10,20,0,0,0,0,10,120,135,315,0,0,0,0,20,10,0,"1,025","2,395"
10005343,Queen's University Belfast,10,5,5,0,5,10,0,10,5,0,5,35,0,25,0,35,0,5,740,30,0,0,0,5,0,0,5,10,5,10,0,0,0,0,25,10,0,995,"3,605"
10037544,BIMM University,5,10,20,0,5,15,0,5,5,15,5,85,0,35,5,15,0,5,25,100,15,15,5,0,0,0,20,25,60,20,0,5,0,0,35,75,0,635,760
10007760,Birkbeck College,10,15,15,0,5,10,0,15,10,0,5,35,0,50,0,50,0,15,20,165,0,15,0,0,0,0,10,45,20,45,0,10,5,0,55,20,0,650,"1,360"
10007140,Birmingham City University,0,10,65,0,15,75,0,5,15,15,5,25,0,15,5,20,0,10,75,55,20,30,0,0,0,0,20,25,45,155,0,0,0,0,30,20,0,755,"2,925"
10006840,The University of Birmingham,15,40,70,0,5,70,0,20,15,10,10,120,0,115,0,150,0,25,120,165,10,25,15,45,0,0,55,55,35,215,0,25,5,0,105,20,0,"1,555","8,210"
10000712,University College Birmingham,5,5,20,0,110,30,0,150,0,35,0,90,0,20,0,10,0,5,5,15,5,25,0,0,0,0,0,35,175,60,0,40,0,0,175,0,0,"1,020","1,525"
10000894,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007811,Bishop Grosseteste University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
10004061,Bloomsbury Institute,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,40,55
10006841,The University of Bolton,0,0,5,0,0,50,0,0,0,5,0,0,0,35,0,20,0,0,20,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,0,170,515
10000385,The Arts University Bournemouth,0,5,20,5,0,5,0,5,0,10,5,15,0,15,0,5,0,5,5,20,5,10,5,0,0,0,5,10,20,5,0,0,0,0,20,5,0,215,525
10000824,Bournemouth University,5,15,100,0,5,25,0,10,20,15,50,45,0,70,0,50,0,10,30,90,30,35,10,10,0,0,40,30,30,40,0,5,0,0,65,25,0,860,"2,325"
10031982,BPP University,10,10,20,0,5,20,0,0,10,0,5,60,0,50,5,25,0,10,40,60,0,5,0,0,0,0,15,35,10,20,0,5,0,0,30,30,0,470,"3,295"
10007785,The University of Bradford,0,5,30,0,15,35,0,20,0,25,0,10,0,15,0,90,0,0,40,15,5,15,0,0,0,0,30,70,30,60,0,0,0,0,5,0,0,520,"1,505"
10000886,The University of Brighton,20,30,25,0,5,95,0,15,5,10,30,130,0,100,10,135,0,20,85,115,5,15,10,5,0,0,40,35,25,30,0,5,0,0,95,25,0,"1,110","2,755"
10000936,The University College of Osteopathy,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,55
10007786,The University of Bristol,15,40,30,0,5,140,0,20,10,10,5,175,0,100,0,150,0,15,55,110,5,15,10,10,0,0,40,35,25,80,0,15,5,0,135,15,0,"1,270","5,875"
10023464,Trinity College Bristol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000961,Brunel University London,5,20,40,5,5,35,0,5,10,10,10,35,0,40,5,70,0,10,80,85,5,20,5,20,0,0,15,30,65,80,0,10,5,0,60,20,0,805,"3,640"
10000975,Buckinghamshire New University,5,10,5,0,5,10,0,10,0,5,0,45,0,20,5,10,0,5,240,40,0,5,5,0,0,0,10,135,30,20,0,0,0,0,30,5,0,650,780
10007787,The University of Buckingham,0,5,0,0,0,15,0,0,0,0,0,10,0,25,0,0,0,0,10,15,0,0,0,0,0,0,5,0,5,0,0,0,0,0,15,5,0,125,910
10010308,Cambridge Arts and Sciences Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,170
10007788,The University of Cambridge,65,85,60,0,15,115,0,55,50,15,30,215,0,480,0,145,0,115,125,255,20,55,20,10,0,0,120,150,40,135,0,35,20,0,135,65,0,"2,635","7,050"
