UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Mayotte,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10008071,AA School of Architecture,5,5,0,0,0,5,0,0,0,0,0,15,0,10,0,10,0,0,0,20,0,5,0,0,0,0,0,0,5,0,0,0,0,0,10,5,0,100,910
10007783,The University of Aberdeen,20,25,95,5,10,25,0,40,45,15,135,110,0,160,0,55,0,40,70,130,15,25,25,5,0,0,30,110,15,40,0,45,15,0,125,95,0,"1,525","4,690"
10007849,Abertay University,5,5,40,0,0,5,0,5,0,5,20,90,0,35,0,10,0,5,15,45,5,5,5,5,0,0,10,20,15,15,0,10,5,0,40,15,0,435,600
10007856,Aberystwyth University,5,10,15,0,15,0,0,10,0,5,5,20,0,35,0,25,0,10,25,15,5,5,5,0,0,0,15,310,5,10,0,20,0,0,40,10,0,630,"1,345"
10067853,ACM Guildford Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,5,0,0,0,0,5,0,0,35,40
10000163,AECC University College,0,10,0,0,0,5,0,0,5,0,10,5,0,45,0,5,0,0,5,10,0,0,0,0,0,0,20,0,5,0,0,0,0,0,5,10,0,130,320
10032036,Amity Global Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10000291,Anglia Ruskin University,5,10,40,0,0,15,0,20,5,5,5,35,0,25,5,75,0,10,95,195,10,45,0,5,0,0,15,60,450,225,0,5,0,0,195,5,0,"1,560","7,170"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,70
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,25,45
10008899,The Ashridge (Bonar Law Memorial) Trust,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,40,60
10003212,Hult International Business School Ltd,25,25,5,0,0,5,0,0,10,0,10,125,0,115,0,5,0,5,10,150,5,5,0,0,0,0,20,15,20,5,0,0,5,0,65,25,0,645,"1,515"
10007759,Aston University,5,5,10,0,0,10,0,0,0,0,5,25,0,15,0,20,0,0,15,40,0,0,5,0,0,0,10,10,10,10,0,0,0,0,25,5,0,230,"3,065"
10007857,Bangor University,5,5,5,0,5,10,0,10,5,0,5,75,0,35,5,20,0,0,70,25,0,5,0,10,0,0,5,25,0,15,0,10,0,0,30,5,0,395,"2,325"
10000571,Bath Spa University,0,5,5,0,0,5,0,5,0,0,0,25,0,20,10,20,0,0,30,20,0,5,5,0,0,0,5,10,10,15,0,0,0,0,25,10,0,235,550
10007850,The University of Bath,20,50,60,5,5,70,0,30,10,5,5,275,0,85,15,140,0,25,40,130,5,10,25,5,0,0,35,35,60,40,0,5,5,0,300,15,0,"1,505","4,765"
10036456,Backstage Academy (Training) Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007152,University of Bedfordshire,0,5,30,0,0,10,0,0,0,0,0,5,0,10,5,55,0,10,60,20,10,20,0,5,0,0,5,210,25,940,0,5,0,0,15,5,0,"1,455","6,035"
10005343,Queen's University Belfast,0,5,5,0,0,10,0,5,5,0,5,35,0,20,0,20,0,0,"1,035",25,0,5,5,5,0,0,5,5,5,10,0,5,0,0,15,5,0,"1,235","5,175"
10037544,BIMM University,5,5,20,0,10,10,0,10,5,5,5,40,0,35,5,20,0,10,40,65,10,25,5,0,0,0,25,45,45,30,0,5,0,0,35,70,0,595,780
10007760,Birkbeck College,5,10,15,0,5,5,0,5,5,0,0,45,0,45,5,40,0,15,35,110,5,10,5,0,0,0,5,40,15,45,0,5,0,0,60,15,0,555,"1,410"
10007140,Birmingham City University,0,10,20,5,5,25,0,5,5,0,5,20,0,15,5,15,0,5,50,40,5,20,0,0,0,0,15,15,80,95,0,5,0,0,30,10,0,505,"4,840"
10006840,The University of Birmingham,5,20,25,0,5,40,0,35,10,5,10,90,0,65,5,80,0,15,100,135,5,25,10,15,0,0,45,30,25,130,0,30,0,0,80,15,0,"1,060","9,555"
10000712,University College Birmingham,0,5,15,0,40,15,0,30,0,10,0,15,0,10,0,0,0,0,15,25,5,25,0,0,0,0,0,10,155,70,0,15,0,0,35,0,0,500,"1,215"
10000894,Bristol Baptist College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007811,Bishop Grosseteste University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,55
10004061,Bloomsbury Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,315
10006841,The University of Bolton,0,5,15,0,0,15,0,5,0,0,0,0,0,15,0,10,0,0,20,10,0,0,0,0,0,0,0,5,25,35,0,0,0,0,5,5,0,185,"1,740"
10000385,The Arts University Bournemouth,0,10,30,0,0,10,0,0,0,5,5,15,0,10,0,15,0,5,5,15,5,10,0,0,0,0,5,15,15,10,0,0,0,0,20,15,0,235,580
10000824,Bournemouth University,5,5,35,5,0,10,0,0,0,5,10,25,0,30,5,25,0,5,20,40,5,10,0,0,0,0,10,15,65,25,0,0,0,0,45,10,0,415,"2,780"
