UKPRN,HE provider,Female,Male,Other,Not known,Total
10008071,AA School of Architecture,575,390,0,0,965
10007783,The University of Aberdeen,"9,300","6,750",30,0,"16,080"
10007849,Abertay University,"2,180","2,385",10,0,"4,575"
10007856,Aberystwyth University,"4,385","3,535",120,0,"8,040"
10067853,ACM Guildford Limited,375,790,20,0,"1,185"
10000248,Academy of Live and Recorded Arts,145,125,0,0,270
10000163,AECC University College,400,475,0,0,875
10032036,Amity Global Education,40,40,0,0,80
10000291,Anglia Ruskin University,"20,010","12,150",20,0,"32,180"
10041898,Apex College London,125,45,0,0,170
10062759,Applied Business Academy Limited,80,140,0,0,220
10005451,Arden University,"7,340","4,420",0,0,"11,760"
10000381,Arts Educational Schools,215,170,0,0,385
10008899,The Ashridge (Bonar Law Memorial) Trust,585,490,0,0,"1,075"
10003212,Hult International Business School Ltd,695,880,0,0,"1,575"
10007759,Aston University,"8,050","8,740",5,0,"16,795"
10038772,British Academy of Jewellery Limited,20,10,0,0,30
10007857,Bangor University,"5,980","3,725",0,0,"9,705"
10000571,Bath Spa University,"6,455","2,770",10,0,"9,235"
10007850,The University of Bath,"8,460","10,075",25,0,"18,555"
10007152,University of Bedfordshire,"10,510","7,465",5,0,"17,980"
10005343,Queen's University Belfast,"14,595","10,765",5,0,"25,365"
10037544,BIMM University,"2,520","3,635",80,0,"6,235"
10007760,Birkbeck College,"6,940","5,095",35,0,"12,070"
10007140,Birmingham City University,"18,270","10,690",30,0,"28,995"
10006840,The University of Birmingham,"21,860","15,865",25,0,"37,750"
10000712,University College Birmingham,"3,525","1,735",5,0,"5,270"
10000894,Bristol Baptist College,30,30,0,0,60
10007811,Bishop Grosseteste University,"1,920",540,5,0,"2,465"
10004061,Bloomsbury Institute,645,325,0,0,970
10006841,The University of Bolton,"6,385","4,180",10,0,"10,575"
10000385,The Arts University Bournemouth,"2,425","1,030",65,0,"3,520"
10000824,Bournemouth University,"9,525","8,130",45,0,"17,700"
10031982,BPP University,"8,025","6,685",5,0,"14,715"
10007785,The University of Bradford,"5,940","4,405",0,0,"10,345"
10000886,The University of Brighton,"10,820","6,870",90,0,"17,785"
10000936,The University College of Osteopathy,250,190,0,0,440
10007786,The University of Bristol,"16,350","13,385",50,0,"29,785"
10028216,Brit College,15,10,0,0,25
10023464,Trinity College Bristol,80,85,0,0,160
10000961,Brunel University London,"8,295","9,395",50,0,"17,745"
10000975,Buckinghamshire New University,"9,390","8,580",5,0,"17,970"
10007787,The University of Buckingham,"1,765","1,545",0,0,"3,310"
10019368,London College of Business Studies,0,0,0,0,0
