UKPRN,HE provider,Female,Male,Other,Not known,Total
10008071,AA School of Architecture,240,230,0,0,470
10007783,The University of Aberdeen,"7,905","6,100",0,0,"14,000"
10019746,ABI College Limited,50,20,0,0,70
10007849,Abertay University,"1,870","2,135",0,0,"4,005"
10007856,Aberystwyth University,"4,340","4,420",0,0,"8,755"
10000080,Access to Music Limited,25,45,0,0,70
10000248,Academy of Live and Recorded Arts,100,85,0,0,185
10000291,Anglia Ruskin University,"12,760","8,170",0,0,"20,935"
10041898,Apex College London,25,25,0,0,50
10005451,Arden University,"1,020",815,0,0,"1,835"
10000381,Arts Educational Schools,125,120,0,0,245
10007759,Aston University,"5,980","6,490",0,0,"12,475"
10007857,Bangor University,"6,000","4,630",0,0,"10,630"
10000571,Bath Spa University,"5,185","2,445",0,0,"7,630"
10007850,The University of Bath,"7,510","8,645",0,0,"16,155"
10007152,University of Bedfordshire,"8,915","5,485",0,0,"14,400"
10005343,Queen's University Belfast,"13,405","10,465",0,0,"23,870"
10037544,BIMM University,"1,310","3,040",15,0,"4,365"
10007760,Birkbeck College,"6,555","5,680",10,0,"12,245"
10007140,Birmingham City University,"15,240","8,820",0,0,"24,065"
10006840,The University of Birmingham,"18,900","14,930",0,0,"33,830"
10000712,University College Birmingham,"3,535","1,490",0,0,"5,025"
10000894,Bristol Baptist College,10,15,0,0,30
10007811,Bishop Grosseteste University,"1,800",435,0,0,"2,235"
10004061,Bloomsbury Institute,630,710,0,0,"1,340"
10006841,The University of Bolton,"3,520","2,800",5,0,"6,320"
10000385,The Arts University Bournemouth,"2,285",950,5,0,"3,240"
10000824,Bournemouth University,"10,955","8,090",0,0,"19,045"
10031982,BPP University,"3,400","2,545",0,0,"5,940"
10007785,The University of Bradford,"6,210","5,000",0,0,"11,215"
10000886,The University of Brighton,"12,615","8,515",0,0,"21,135"
10007786,The University of Bristol,"11,685","10,205",15,0,"21,905"
10028216,Brit College,220,345,0,0,565
10023464,Trinity College Bristol,35,50,0,0,80
10000961,Brunel University London,"6,490","7,675",0,0,"14,165"
10000975,Buckinghamshire New University,"5,090","3,490",0,0,"8,580"
10007787,The University of Buckingham,"1,105","1,290",0,0,"2,400"
10022021,UK College of Business and Computing,440,505,0,0,945
10041974,London College of Business Sciences,30,25,0,0,55
10010308,Cambridge Arts and Sciences Limited,60,15,0,0,75
10007788,The University of Cambridge,"9,025","10,630",10,0,"19,660"
10032072,The Cambridge Theological Federation,75,85,0,0,160
10003324,The Institute of Cancer Research,165,110,0,0,275
10001143,Canterbury Christ Church University,"10,995","5,060",0,0,"16,055"
10007814,Cardiff University,"18,095","12,575",10,0,"30,675"
10007854,Cardiff Metropolitan University,"6,585","5,995",0,0,"12,580"
10007141,The University of Central Lancashire,"13,830","10,630",0,0,"24,460"
10007848,University of Chester,"10,100","4,820",0,0,"14,915"
10007137,The University of Chichester,"3,435","2,085",0,0,"5,520"
10001386,Chicken Shed Theatre Company,50,35,0,0,85
10001546,The College of Integrated Chinese Medicine,165,40,0,0,205
10001419,Christie's Education Limited,30,10,0,0,35
10010213,The City College,230,95,0,0,320
10001478,"City, University of London","10,610","8,385",0,0,"18,995"
10007912,Cliff College,50,30,0,0,85
10013357,The Academy of Contemporary Music,215,655,0,0,870
10001653,Conservatoire for Dance and Drama,790,520,0,0,"1,310"
10007761,Courtauld Institute of Art,400,105,0,0,505
10034324,Court Theatre Training Company Ltd,20,10,0,0,30
10001726,Coventry University,"13,890","15,530",10,0,"29,430"
10007822,Cranfield University,930,"3,055",0,0,"3,980"
10006427,University for the Creative Arts,"3,400","1,405",0,0,"4,805"
10007842,University of Cumbria,"6,020","2,770",0,0,"8,790"
10001883,De Montfort University,"11,905","8,995",0,0,"20,905"
10007851,University of Derby,"9,230","7,070",0,0,"16,300"
10007852,The University of Dundee,"9,380","5,535",0,0,"14,910"
10007143,University of Durham,"9,600","8,210",0,0,"17,810"
10007789,The University of East Anglia,"9,835","6,305",5,0,"16,145"
10007144,The University of East London,"8,655","4,975",0,0,"13,630"
10032282,The Queen's Foundation for Ecumenical Theological Education,145,85,0,5,235
10007823,Edge Hill University,"10,615","4,925",0,0,"15,540"
10007772,Edinburgh Napier University,"7,035","5,550",0,0,"12,585"
10007790,The University of Edinburgh,"18,075","12,255",20,0,"30,355"
10022047,Empire College London Limited,75,55,0,0,130
10007791,The University of Essex,"7,915","5,880",0,0,"13,795"
10002113,East End Computing and Business College Limited,195,170,0,0,360
10008173,University College of Estate Management,320,780,0,0,"1,100"
10008229,EThames Graduate School Limited,405,155,0,0,560
10007792,The University of Exeter,"11,795","9,865",10,0,"21,670"
10008640,Falmouth University,"2,820","1,830",5,0,"4,655"
10033187,Fairfield School of Business Ltd,350,235,0,0,585
10045476,Met Film School Limited,75,100,0,0,175
10004511,The National Film and Television School,100,140,0,0,240
10038763,ForMission Ltd,85,90,0,0,180
10022087,Futureworks,45,265,0,0,315
10007762,Glasgow Caledonian University,"9,880","6,700",0,0,"16,580"
10002681,Glasgow School of Art,"1,310",730,15,0,"2,060"
10007794,The University of Glasgow,"16,090","11,125",5,0,"27,220"
10007145,University of Gloucestershire,"4,585","3,250",0,0,"7,835"
10007833,Glyndŵr University,"3,625","3,035",0,0,"6,660"
10002718,Goldsmiths College,"5,715","2,810",0,0,"8,525"
10002735,Grafton College,140,220,0,0,360
10007146,The University of Greenwich,"11,825","8,820",0,0,"20,645"
10007937,GSM London,"3,380","3,485",0,0,"6,860"
10007825,Guildhall School of Music and Drama,465,470,0,0,930
10040812,Harper Adams University,"2,745","2,835",0,0,"5,575"
10007764,Heriot-Watt University,"4,285","6,175",0,0,"10,460"
10007147,University of Hertfordshire,"14,125","10,530",0,0,"24,655"
10007765,Heythrop College,250,310,0,0,560
10007148,The University of Huddersfield,"11,005","8,265",0,0,"19,270"
10007149,The University of Hull,"9,060","7,245",0,0,"16,305"
10003239,ICON College of Technology and Management,740,520,0,0,"1,260"
10003270,"Imperial College of Science, Technology and Medicine","6,505","10,530",0,0,"17,035"
10035638,Institute of Contemporary Music Performance,255,440,5,0,700
10029682,The Islamic College,20,10,0,0,30
10021682,Kaplan Open Learning,325,190,0,0,515
10007767,Keele University,"5,940","4,180",0,0,"10,120"
10003566,Kensington College of Business,195,125,0,0,320
10007150,The University of Kent,"10,315","9,355",0,0,"19,670"
10003645,King's College London,"18,140","10,745",15,0,"28,900"
10008325,KLC School of Design,135,15,0,0,150
10003678,Kingston University,"11,530","9,295",55,0,"20,885"
10009285,Kogan Academy of Dramatic Arts,15,15,0,0,30
10007768,The University of Lancaster,"6,695","6,420",0,0,"13,115"
10003854,Leeds Arts University,980,340,0,0,"1,320"
10003861,Leeds Beckett University,"13,705","12,215",0,0,"25,920"
10007795,The University of Leeds,"19,275","12,515",0,0,"31,790"
10003863,Leeds Trinity University,"2,445","1,270",0,0,"3,715"
10007796,The University of Leicester,"8,595","7,725",0,0,"16,325"
