UKPRN,HE provider,Female,Male,Other,Not known,Total
10008071,AA School of Architecture,230,220,0,0,450
10007783,The University of Aberdeen,"8,065","6,080",0,0,"14,150"
10019746,ABI College Limited,55,10,0,0,70
10007849,Abertay University,"1,810","2,030",5,0,"3,845"
10007856,Aberystwyth University,"4,385","4,065",5,0,"8,455"
10000080,Access to Music Limited,25,35,0,0,60
10000248,Academy of Live and Recorded Arts,100,80,0,0,180
10000291,Anglia Ruskin University,"13,965","8,275",5,0,"22,245"
10041898,Apex College London,25,25,0,0,50
10005451,Arden University,"1,435","1,030",0,0,"2,465"
10000381,Arts Educational Schools,120,125,0,0,245
10007759,Aston University,"6,485","7,120",0,0,"13,610"
10007857,Bangor University,"6,535","4,735",0,0,"11,270"
10000571,Bath Spa University,"5,400","2,575",0,0,"7,980"
10007850,The University of Bath,"7,890","9,015",0,0,"16,910"
10007152,University of Bedfordshire,"8,720","5,280",0,0,"14,000"
10005343,Queen's University Belfast,"13,345","10,505",0,0,"23,850"
10037544,BIMM University,"1,565","3,415",20,0,"4,995"
10007760,Birkbeck College,"7,010","5,895",10,0,"12,915"
10007140,Birmingham City University,"15,130","8,990",10,0,"24,130"
10006840,The University of Birmingham,"19,675","15,155",5,0,"34,835"
10000712,University College Birmingham,"3,465","1,465",0,0,"4,935"
10000894,Bristol Baptist College,10,20,0,0,25
10007811,Bishop Grosseteste University,"1,790",435,0,0,"2,225"
10004061,Bloomsbury Institute,630,655,0,0,"1,280"
10006841,The University of Bolton,"3,630","2,790",5,0,"6,425"
10000385,The Arts University Bournemouth,"2,330",970,15,0,"3,315"
10000824,Bournemouth University,"11,585","8,610",5,0,"20,200"
10031982,BPP University,"3,625","2,410",0,0,"6,035"
10007785,The University of Bradford,"6,065","4,895",0,0,"10,960"
10000886,The University of Brighton,"13,070","8,575",5,0,"21,655"
10000936,The University College of Osteopathy,255,215,0,0,470
10007786,The University of Bristol,"12,860","10,715",20,0,"23,590"
10028216,Brit College,210,335,0,0,545
10023464,Trinity College Bristol,55,65,0,0,120
10000961,Brunel University London,"6,070","7,060",0,0,"13,130"
10000975,Buckinghamshire New University,"5,200","3,675",0,0,"8,870"
10007787,The University of Buckingham,"1,160","1,355",0,0,"2,520"
10022021,UK College of Business and Computing,460,495,0,0,955
10041974,London College of Business Sciences,25,10,0,0,40
10010308,Cambridge Arts and Sciences Limited,70,15,0,0,85
10007788,The University of Cambridge,"9,385","10,560",10,0,"19,955"
10032072,The Cambridge Theological Federation,100,85,0,0,185
10003324,The Institute of Cancer Research,170,100,0,0,275
10001143,Canterbury Christ Church University,"10,555","4,645",0,0,"15,200"
10007814,Cardiff University,"18,720","12,855",25,0,"31,595"
10007854,Cardiff Metropolitan University,"5,965","5,025",0,0,"10,995"
10007141,The University of Central Lancashire,"13,920","10,240",0,0,"24,160"
10007848,University of Chester,"10,510","4,815",0,0,"15,325"
10007137,The University of Chichester,"3,485","2,055",0,0,"5,540"
10001386,Chicken Shed Theatre Company,50,35,0,0,85
10001546,The College of Integrated Chinese Medicine,145,30,0,0,180
10001419,Christie's Education Limited,30,10,0,0,40
10010213,The City College,200,105,0,20,325
10001478,"City, University of London","10,815","8,585",0,0,"19,405"
10007912,Cliff College,40,30,0,0,65
10013357,The Academy of Contemporary Music,350,835,0,0,"1,190"
10001653,Conservatoire for Dance and Drama,865,510,0,0,"1,375"
10007761,Courtauld Institute of Art,380,110,0,0,495
10034324,Court Theatre Training Company Ltd,25,15,0,0,40
10001726,Coventry University,"14,930","16,750",10,0,"31,690"
10007822,Cranfield University,935,"3,000",0,0,"3,935"
10006427,University for the Creative Arts,"4,270","1,900",10,0,"6,180"
10007842,University of Cumbria,"5,725","2,905",5,0,"8,635"
10001883,De Montfort University,"13,020","10,185",0,0,"23,205"
10007851,University of Derby,"9,935","7,645",0,0,"17,585"
10007852,The University of Dundee,"9,815","5,570",0,0,"15,390"
10007143,University of Durham,"10,045","8,340",0,0,"18,385"
10007789,The University of East Anglia,"10,425","6,760",10,0,"17,195"
10007144,The University of East London,"8,350","4,870",0,0,"13,215"
10032282,The Queen's Foundation for Ecumenical Theological Education,155,90,0,0,245
10007823,Edge Hill University,"10,325","4,890",0,0,"15,220"
10007772,Edinburgh Napier University,"7,295","5,615",0,0,"12,910"
10007790,The University of Edinburgh,"19,060","12,815",35,0,"31,910"
10022047,Empire College London Limited,80,60,0,0,140
10007791,The University of Essex,"8,230","6,355",5,0,"14,585"
10002113,East End Computing and Business College Limited,235,135,0,0,370
10008173,University College of Estate Management,700,"1,575",0,0,"2,275"
10008229,EThames Graduate School Limited,195,55,0,0,250
10007792,The University of Exeter,"12,665","10,495",20,0,"23,175"
10008640,Falmouth University,"3,210","2,165",10,0,"5,385"
10033187,Fairfield School of Business Ltd,375,245,0,0,615
10045476,Met Film School Limited,80,130,0,0,210
10004511,The National Film and Television School,120,155,0,0,275
10038763,ForMission Ltd,90,85,0,0,175
10022087,Futureworks,50,330,0,0,380
10007762,Glasgow Caledonian University,"9,655","6,760",0,0,"16,415"
