UKPRN,HE provider,Female,Male,Other,Not known,Total
10007783,The University of Aberdeen,"7,830","6,210",0,0,"14,035"
10019746,ABI College Limited,75,35,0,0,110
10007849,Abertay University,"1,945","2,280",0,0,"4,220"
10007856,Aberystwyth University,"4,900","4,940",0,0,"9,835"
10000080,Access to Music Limited,25,45,0,0,70
10000248,Academy of Live and Recorded Arts,110,85,0,0,195
10000291,Anglia Ruskin University,"12,260","7,565",0,0,"19,830"
10000381,Arts Educational Schools,125,120,0,0,245
10007759,Aston University,"5,355","5,715",0,0,"11,070"
10007857,Bangor University,"6,070","4,695",0,0,"10,765"
10000571,Bath Spa University,"5,045","2,335",0,0,"7,380"
10007850,The University of Bath,"7,120","8,450",0,0,"15,570"
10007152,University of Bedfordshire,"9,245","6,410",0,0,"15,655"
10005343,Queen's University Belfast,"13,275","10,580",0,0,"23,855"
10037544,BIMM University,600,"1,620",5,0,"2,225"
10007760,Birkbeck College,"7,675","6,255",5,0,"13,935"
10007140,Birmingham City University,"14,715","8,620",0,0,"23,335"
10006840,The University of Birmingham,"18,840","15,315",0,0,"34,160"
10000712,University College Birmingham,"3,345","1,510",0,0,"4,855"
10007811,Bishop Grosseteste University,"1,815",480,0,0,"2,290"
10004061,Bloomsbury Institute,440,500,0,0,940
10006841,The University of Bolton,"3,495","2,885",5,0,"6,385"
10000385,The Arts University Bournemouth,"2,050",905,0,0,"2,955"
10000824,Bournemouth University,"10,455","7,765",0,0,"18,225"
10031982,BPP University,"2,670","2,165",0,0,"4,835"
10007785,The University of Bradford,"6,300","5,220",0,0,"11,520"
10000886,The University of Brighton,"12,225","8,455",0,0,"20,685"
10007786,The University of Bristol,"11,475","10,070",5,0,"21,555"
10028216,Brit College,0,535,0,0,535
10000961,Brunel University London,"6,210","7,510",0,0,"13,720"
10000975,Buckinghamshire New University,"5,290","3,745",0,0,"9,035"
10007787,The University of Buckingham,"1,035","1,210",0,0,"2,245"
10022021,UK College of Business and Computing,790,915,0,0,"1,705"
10019368,London College of Business Studies,230,280,0,0,510
10007788,The University of Cambridge,"8,925","10,580",10,0,"19,515"
10003324,The Institute of Cancer Research,180,120,0,0,300
10001143,Canterbury Christ Church University,"10,930","5,090",0,0,"16,020"
10007814,Cardiff University,"17,805","12,675",0,0,"30,480"
10007854,Cardiff Metropolitan University,"6,915","6,755",0,0,"13,670"
10007141,The University of Central Lancashire,"14,320","11,335",0,0,"25,655"
10007848,University of Chester,"9,970","5,155",0,0,"15,130"
10007137,The University of Chichester,"3,360","2,085",0,0,"5,445"
10001386,Chicken Shed Theatre Company,50,25,0,0,75
10001546,The College of Integrated Chinese Medicine,175,40,0,0,210
10010213,The City College,180,80,0,0,260
