UKPRN,HE provider,Female,Male,Other,Not known,Total
10008071,AA School of Architecture,485,345,0,0,830
10007783,The University of Aberdeen,"8,855","6,315",20,0,"15,185"
10007849,Abertay University,"2,060","2,220",5,0,"4,280"
10007856,Aberystwyth University,"4,215","3,455",50,0,"7,720"
10067853,ACM Guildford Limited,270,730,10,0,"1,010"
10000248,Academy of Live and Recorded Arts,150,110,0,0,260
10000163,AECC University College,335,380,0,0,715
10032036,Amity Global Education,25,30,0,0,60
10000291,Anglia Ruskin University,"16,700","9,995",20,0,"26,715"
10041898,Apex College London,70,35,0,0,105
10005451,Arden University,"4,135","2,110",0,0,"6,245"
10000381,Arts Educational Schools,145,125,0,0,275
10003212,Hult International Business School Ltd,675,900,5,0,"1,575"
10007759,Aston University,"7,505","8,090",0,0,"15,595"
10007857,Bangor University,"6,025","3,925",0,0,"9,945"
10000571,Bath Spa University,"5,805","2,640",5,0,"8,450"
10007850,The University of Bath,"8,615","9,930",15,0,"18,560"
10007152,University of Bedfordshire,"9,730","7,045",0,0,"16,775"
10005343,Queen's University Belfast,"14,330","10,585",0,0,"24,915"
10037544,BIMM University,"1,965","3,280",45,0,"5,295"
10007760,Birkbeck College,"6,445","4,955",25,0,"11,425"
10007140,Birmingham City University,"16,875","10,030",25,0,"26,930"
10006840,The University of Birmingham,"20,635","15,100",25,0,"35,760"
10000712,University College Birmingham,"3,310","1,620",0,0,"4,930"
10000894,Bristol Baptist College,25,30,0,0,55
10007811,Bishop Grosseteste University,"1,820",455,5,0,"2,280"
10004061,Bloomsbury Institute,810,480,0,0,"1,290"
10006841,The University of Bolton,"4,945","3,225",5,0,"8,175"
10000385,The Arts University Bournemouth,"2,380","1,030",35,0,"3,445"
10000824,Bournemouth University,"9,265","8,090",35,0,"17,390"
10031982,BPP University,"6,840","5,315",10,0,"12,160"
10007785,The University of Bradford,"5,545","4,225",0,0,"9,770"
10000886,The University of Brighton,"11,530","7,410",50,0,"18,985"
10000936,The University College of Osteopathy,260,200,0,0,465
10007786,The University of Bristol,"15,155","12,190",30,0,"27,375"
10023464,Trinity College Bristol,80,75,0,0,155
10000961,Brunel University London,"7,260","8,290",35,0,"15,585"
10000975,Buckinghamshire New University,"7,340","6,730",5,0,"14,075"
10007787,The University of Buckingham,"1,620","1,480",0,0,"3,100"
10022021,UK College of Business and Computing,10,10,0,0,15
10019368,London College of Business Studies,45,35,0,0,85
10010308,Cambridge Arts and Sciences Limited,140,50,5,0,195
10007788,The University of Cambridge,"10,165","11,155",20,0,"21,340"
10032072,The Cambridge Theological Federation,65,45,0,0,110
10003324,The Institute of Cancer Research,180,95,0,0,280
10001143,Canterbury Christ Church University,"9,210","4,125",5,0,"13,340"
10007814,Cardiff University,"19,680","13,530",45,0,"33,260"
10007854,Cardiff Metropolitan University,"5,905","5,015",0,0,"10,920"
10007141,The University of Central Lancashire,"14,245","10,470",5,0,"24,715"
10024024,Central Film School London,25,45,0,0,75
10007848,University of Chester,"9,285","4,255",5,0,"13,545"
10007137,The University of Chichester,"3,415","2,125",0,0,"5,545"
10001386,Chicken Shed Theatre Company,55,35,0,0,95
10001546,The College of Integrated Chinese Medicine,145,25,0,0,170
10001419,Christie's Education Limited,75,10,0,0,85
10026921,Christ the Redeemer College,40,40,0,0,80
10010213,The City College,90,45,0,0,135
10001478,"City, University of London","11,400","8,570",5,0,"19,975"
10007912,Cliff College,90,55,0,0,140
10001653,Conservatoire for Dance and Drama,705,290,5,0,"1,000"
10007761,Courtauld Institute of Art,450,90,5,0,545
10034324,Court Theatre Training Company Ltd,30,15,0,0,45
10001726,Coventry University,"18,480","19,920",25,0,"38,430"
10007822,Cranfield University,"1,375","3,450",0,0,"4,825"
10006427,University for the Creative Arts,"4,420","2,060",285,0,"6,765"
10007842,University of Cumbria,"5,230","2,695",20,0,"7,945"
10001883,De Montfort University,"15,825","13,075",45,0,"28,945"
10007851,University of Derby,"11,755","7,860",75,0,"19,685"
10007852,The University of Dundee,"10,575","5,685",10,0,"16,270"
10007143,University of Durham,"10,560","8,955",5,0,"19,520"
10007789,The University of East Anglia,"10,665","7,335",40,0,"18,035"
10007144,The University of East London,"8,805","6,545",10,0,"15,355"
10032282,The Queen's Foundation for Ecumenical Theological Education,235,140,0,0,375
10007823,Edge Hill University,"9,420","4,140",0,0,"13,560"
10007772,Edinburgh Napier University,"7,630","6,300",5,0,"13,930"
10007790,The University of Edinburgh,"21,765","13,525",85,0,"35,375"
10022047,Empire College London Limited,90,85,0,0,175
10007791,The University of Essex,"9,175","7,330",25,0,"16,530"
10008173,University College of Estate Management,845,"1,960",5,0,"2,805"
10002313,ESCP Europe Business School,175,230,0,0,405
10007792,The University of Exeter,"14,475","12,410",50,0,"26,935"
10008640,Falmouth University,"3,635","2,545",65,0,"6,245"
10033187,Fairfield School of Business Ltd,225,170,0,0,395
10045476,Met Film School Limited,165,180,0,0,345
10004511,The National Film and Television School,260,230,5,0,495
10038763,ForMission Ltd,50,65,0,0,120
10022087,Futureworks,100,315,0,0,415
10042500,Global Banking School Limited,295,465,0,0,765
10007762,Glasgow Caledonian University,"10,185","7,350",5,0,"17,540"
10002681,Glasgow School of Art,"1,570",765,45,0,"2,380"
10007794,The University of Glasgow,"19,270","12,710",490,0,"32,465"
10007145,University of Gloucestershire,"4,735","3,150",30,0,"7,915"
10007833,Glyndŵr University,"3,585","2,450",10,0,"6,045"
10002718,Goldsmiths College,"6,665","3,395",30,0,"10,090"
10030408,Gower College Swansea,60,50,0,0,110
10007146,The University of Greenwich,"11,185","8,630",10,0,"19,825"
10007825,Guildhall School of Music and Drama,535,515,5,0,"1,060"
10040812,Harper Adams University,"2,455","2,225",5,0,"4,680"
10080811,Hartpury University,"1,330",665,0,0,"1,995"
10007764,Heriot-Watt University,"4,475","6,680",0,0,"11,155"
10007147,University of Hertfordshire,"14,065","11,455",0,0,"25,520"
10007148,The University of Huddersfield,"9,990","7,285",30,0,"17,305"
10007149,The University of Hull,"8,020","6,195",40,0,"14,255"
10003239,ICON College of Technology and Management,880,655,0,0,"1,535"
10003270,"Imperial College of Science, Technology and Medicine","8,005","11,655",0,0,"19,660"
10004023,London College of International Business Studies Ltd,15,20,0,0,40
10013220,Institute of Art - London Limited,270,40,5,0,315
10067388,The Institute of Ismaili Studies,35,15,0,0,50
10035638,Institute of Contemporary Music Performance,420,610,5,0,"1,040"
10029682,The Islamic College,25,15,0,0,40
10021682,Kaplan Open Learning,880,440,0,0,"1,320"
10007767,Keele University,"6,510","4,360",10,0,"10,880"
10003566,Kensington College of Business,155,95,0,0,250
10007150,The University of Kent,"10,135","8,570",5,0,"18,710"
10003645,King's College London,"20,825","11,715",575,0,"33,110"
10008325,KLC School of Design,180,10,0,0,190
10003678,Kingston University,"10,255","7,740",75,0,"18,070"
10003758,LAMDA Limited,190,130,5,0,325
10007768,The University of Lancaster,"7,950","7,680",40,0,"15,665"
10066551,LCCM AU UK Limited,65,85,0,0,150
10003854,Leeds Arts University,"1,630",510,5,0,"2,145"
10003861,Leeds Beckett University,"11,915","10,290",0,0,"22,205"
10003798,Le Cordon Bleu Limited,225,90,0,0,315
10034449,Leeds Conservatoire,430,870,0,0,"1,300"
10007795,The University of Leeds,"21,935","14,370",25,0,"36,330"
10003863,Leeds Trinity University,"3,045","1,940",0,0,"4,985"
10007796,The University of Leicester,"8,740","7,440",0,0,"16,180"
10007151,The University of Lincoln,"8,875","7,540",5,0,"16,425"
10003956,Liverpool Hope University,"3,370","1,595",15,0,"4,985"
10003957,Liverpool John Moores University,"13,585","11,465",0,0,"25,050"
10003945,The Liverpool Institute for Performing Arts,500,380,5,0,885
10006842,The University of Liverpool,"16,275","13,325",0,0,"29,600"
10003958,Liverpool School of Tropical Medicine,225,115,0,0,345
10007820,Grŵp Llandrillo Menai,785,515,0,0,"1,300"
10007162,"University of the Arts, London","15,160","4,750",55,0,"19,965"
10013109,London Bridge Business Academy,130,90,0,0,225
10007769,London Business School,850,"1,460",0,0,"2,305"
10030391,London Churchill College Ltd,205,215,0,0,420
10007797,University of London (Institutes and activities),210,120,0,0,330
10039082,City and Guilds of London Art School,160,70,0,0,235
10023434,London School of Commerce & IT Limited,145,140,0,0,285
10004036,London Film School Limited,130,135,0,0,265
10015506,The London College UCK,430,760,0,0,"1,190"
10004048,London Metropolitan University,"6,680","3,705",0,0,"10,390"
10032594,London School of Academics Ltd,60,60,0,0,120
10004078,London South Bank University,"9,460","7,370",10,0,"16,840"
10004063,London School of Economics and Political Science,"6,585","5,450",15,0,"12,050"
10007771,London School of Hygiene and Tropical Medicine,755,335,0,0,"1,090"
10022285,London School of Management Education,310,170,0,0,480
10004075,London School of Theology,165,175,0,0,340
10004079,London Studio Centre,300,30,0,0,330
10062810,The London School of Architecture,35,50,0,0,90
10008289,The London Institute of Banking & Finance,70,180,0,0,245
10004035,The Film Education Training Trust Limited,35,55,0,0,85
10004113,Loughborough University,"7,500","10,795",0,0,"18,295"
10009612,Luther King House Educational Trust,60,40,0,0,105
10004180,The Manchester Metropolitan University,"19,470","13,940",15,0,"33,420"
10007798,The University of Manchester,"22,350","18,135",0,0,"40,485"
10009527,Istituto Marangoni Limited,845,120,0,0,960
10023452,The Markfield Institute of Higher Education,35,70,0,0,105
10023453,Matrix College of Counselling and Psychotherapy Ltd,70,15,0,0,80
10020416,Missio Dei,25,40,0,0,65
10030776,St Mellitus College,315,285,0,0,600
10004320,The Metanoia Institute,325,80,0,0,405
10004351,Middlesex University,"11,580","8,595",0,0,"20,175"
10004365,Millennium Performing Arts Ltd,35,10,0,0,45
10032277,The Minster Centre,125,30,0,0,155
10004450,Mountview Academy of Theatre Arts,220,170,0,0,395
10023777,Mont Rose College of Management and Sciences,520,305,0,0,825
10023454,Moorlands College,115,150,0,0,265
10000216,All Nations Christian College,40,30,0,0,70
10004538,Nazarene Theological College,75,80,0,0,155
10030129,Nelson College London Ltd,635,505,0,0,"1,140"
10023456,Newbold College,10,85,0,0,95
10007799,Newcastle University,"14,650","13,375",50,0,"28,070"
10048199,New College of the Humanities,125,90,0,0,215
10007832,Newman University,"2,110",680,0,0,"2,795"
10045289,St Nicholas Montessori Training Limited,35,0,0,0,35
10008397,Norland College,280,10,0,0,290
10007138,The University of Northampton,"7,510","4,550",0,0,"12,060"
10009614,Grŵp NPTC Group,35,135,0,0,170
10004740,Northern College of Acupuncture,135,15,0,0,150
10001282,University of Northumbria at Newcastle,"14,850","13,465",10,0,"28,325"
10004775,Norwich University of the Arts,"1,435",895,30,0,"2,360"
10007154,University of Nottingham,"19,080","15,670",90,0,"34,840"
10004797,The Nottingham Trent University,"19,745","16,010",30,0,"35,785"
10010227,Oak Hill College,20,115,0,0,135
10007773,The Open University,"80,520","48,895",5,0,"129,420"
10023445,ICOM,40,10,0,0,45
10004930,Oxford Brookes University,"10,110","6,855",20,0,"16,985"
10020439,Oxford Business College,20,45,0,0,65
10007774,The University of Oxford,"12,855","13,040",15,0,"25,910"
10006243,St Patrick's International College,855,365,0,0,"1,220"
10042570,Pearson College,605,690,0,0,"1,295"
10005127,Arts University Plymouth,955,355,0,0,"1,305"
10007801,University of Plymouth,"10,870","7,530",10,0,"18,410"
10019178,Point Blank Music School,75,450,0,0,525
10007155,The University of Portsmouth,"12,295","14,480",0,0,"26,775"
10083476,The Prince's Foundation,15,10,0,0,25
10005337,"Queen Margaret University, Edinburgh","3,955","1,160",10,0,"5,130"
10007775,Queen Mary University of London,"11,815","9,840",10,0,"21,665"
10025197,University Centre Quayside Limited,45,30,0,0,75
10009292,Royal Academy of Dramatic Art,120,100,0,0,220
10005544,Royal Academy of Dance,125,0,0,0,125
10005389,Ravensbourne University London,"1,250","1,280",5,0,"2,535"
10005470,"Richmond, The American International University in London",480,405,0,0,885
10007802,The University of Reading,"10,240","8,475",15,0,"18,735"
10003331,Regent's University London,"1,165","1,050",0,0,"2,210"
10021100,Regents Theological College,90,120,0,0,210
10008455,Regent College,760,685,0,0,"1,445"
10005500,Robert Gordon University,"7,770","4,880",10,0,"12,660"
10007776,Roehampton University,"7,970","4,510",15,0,"12,495"
10005523,Rose Bruford College of Theatre and Performance,445,290,0,0,735
10007835,Royal Academy of Music,425,435,0,0,860
10005545,Royal Agricultural University,590,535,5,0,"1,125"
10007777,Royal College of Art,"1,805",835,10,0,"2,645"
10007778,Royal College of Music,465,420,0,0,890
10005561,Royal Conservatoire of Scotland,705,515,5,0,"1,220"
10007816,The Royal Central School of Speech and Drama,755,335,5,0,"1,100"
10005553,Royal Holloway and Bedford New College,"6,595","4,935",0,0,"11,530"
10007837,Royal Northern College of Music,440,445,0,0,890
10007779,The Royal Veterinary College,"1,995",510,5,0,"2,510"
10007803,The University of St. Andrews,"6,195","4,335",5,0,"10,535"
10007839,SAE Education Limited,155,540,5,0,700
10007782,"St George's, University of London","2,815","1,510",5,0,"4,330"
10008026,St Mary's University College,755,290,0,0,"1,045"
10007843,"St Mary's University, Twickenham","2,875","2,580",5,0,"5,460"
10007156,The University of Salford,"11,740","9,730",30,0,"21,500"
10021256,The Salvation Army,20,15,0,0,40
10008362,London School of Science and Technology Limited,420,390,0,0,810
10007780,SOAS University of London,"3,820","1,965",5,0,"5,795"
10005700,SRUC,880,685,5,0,"1,570"
10005790,Sheffield Hallam University,"17,110","13,850",0,0,"30,960"
10007157,The University of Sheffield,"16,050","13,990",15,0,"30,055"
10023458,The Sherwood Psychotherapy Training Institute Limited,190,40,0,0,230
10006022,Solent University,"4,795","5,715",0,0,"10,510"
10007158,The University of Southampton,"12,100","10,565",0,0,"22,665"
10006093,Spurgeon's College,100,195,0,0,295
10006299,Staffordshire University,"7,545","8,120",10,0,"15,675"
10008098,Study Group,"1,205","1,765",0,0,"2,975"
10007804,The University of Stirling,"8,075","4,440",20,0,"12,540"
10037449,University of St Mark and St John,"1,410","1,335",0,0,"2,750"
10008010,Stranmillis University College,970,240,0,0,"1,210"
10007805,The University of Strathclyde,"12,510","11,750",70,0,"24,330"
10014001,University of Suffolk,"5,530","4,035",0,0,"9,565"
10007159,The University of Sunderland,"9,555","6,180",5,0,"15,740"
10007160,The University of Surrey,"9,055","7,935",5,0,"16,990"
10007806,The University of Sussex,"10,785","8,595",15,0,"19,395"
10007855,Swansea University,"9,760","10,615",0,0,"20,375"
10007161,Teesside University,"10,580","8,700",10,0,"19,290"
10008017,Trinity Laban Conservatoire of Music and Dance,830,415,0,0,"1,250"
10007858,University of Wales Trinity Saint David,"7,340","5,350",10,0,"12,700"
10068157,University Centre Peterborough,140,60,0,0,200
10007114,University of the Highlands and Islands,"6,135","3,740",35,0,"9,905"
10007807,Ulster University,"16,250","11,430",0,0,"27,680"
10039956,The University of Law,"7,210","3,285",5,0,"10,495"
10007784,University College London,"24,730","16,655",15,0,"41,400"
10007793,University of South Wales,"12,735","10,285",70,0,"23,090"
