UKPRN,HE provider,Female,Male,Other,Not known,Total
10008071,AA School of Architecture,375,335,0,0,710
10007783,The University of Aberdeen,"8,270","6,100",0,0,"14,370"
10019746,ABI College Limited,85,25,0,0,105
10007849,Abertay University,"1,975","2,070",5,0,"4,055"
10007856,Aberystwyth University,"4,390","3,785",15,0,"8,185"
10000080,Access to Music Limited,20,20,0,0,45
10000248,Academy of Live and Recorded Arts,145,110,0,0,255
10000163,AECC University College,215,220,0,0,435
10000291,Anglia Ruskin University,"14,870","8,600",15,0,"23,485"
10041898,Apex College London,25,25,0,0,50
10005451,Arden University,"2,260","1,440",0,0,"3,700"
10000381,Arts Educational Schools,145,135,0,0,280
10007759,Aston University,"6,960","7,655",0,0,"14,615"
10007857,Bangor University,"6,615","4,540",0,0,"11,155"
10000571,Bath Spa University,"5,475","2,515",0,0,"7,990"
10007850,The University of Bath,"8,260","9,285",10,0,"17,555"
10007152,University of Bedfordshire,"7,955","4,840",0,0,"12,800"
10005343,Queen's University Belfast,"13,970","10,515",0,0,"24,490"
10037544,BIMM University,"1,760","3,490",25,0,"5,275"
10007760,Birkbeck College,"6,490","5,435",15,0,"11,940"
10007140,Birmingham City University,"15,415","9,150",10,0,"24,575"
10006840,The University of Birmingham,"19,930","14,985",5,0,"34,915"
10000712,University College Birmingham,"3,450","1,495",0,0,"4,945"
10000894,Bristol Baptist College,25,25,0,0,45
10007811,Bishop Grosseteste University,"1,805",450,0,0,"2,255"
10004061,Bloomsbury Institute,860,760,0,0,"1,615"
10006841,The University of Bolton,"3,845","2,690",5,0,"6,540"
10000385,The Arts University Bournemouth,"2,430","1,045",20,0,"3,490"
10000824,Bournemouth University,"10,380","8,305",20,0,"18,705"
10031982,BPP University,"6,085","3,875",0,0,"9,965"
10007785,The University of Bradford,"5,760","4,355",0,0,"10,115"
10000886,The University of Brighton,"13,150","8,385",20,0,"21,555"
10000936,The University College of Osteopathy,280,215,0,0,495
10007786,The University of Bristol,"13,730","11,105",15,0,"24,850"
10028216,Brit College,210,350,0,0,560
10023464,Trinity College Bristol,85,85,0,0,170
10000961,Brunel University London,"6,410","7,500",0,0,"13,910"
10000975,Buckinghamshire New University,"4,840","4,245",0,0,"9,085"
10007787,The University of Buckingham,"1,410","1,450",0,0,"2,860"
10022021,UK College of Business and Computing,415,340,0,0,750
10041974,London College of Business Sciences,35,25,0,0,60
10010308,Cambridge Arts and Sciences Limited,155,45,0,0,200
10007788,The University of Cambridge,"9,640","10,860",10,0,"20,510"
10032072,The Cambridge Theological Federation,105,75,0,0,180
10003324,The Institute of Cancer Research,175,115,0,0,290
10001143,Canterbury Christ Church University,"10,045","4,315",5,0,"14,365"
10007814,Cardiff University,"19,020","12,880",35,0,"31,935"
10007854,Cardiff Metropolitan University,"5,775","4,655",5,0,"10,435"
10007141,The University of Central Lancashire,"13,330","9,675",0,0,"23,000"
10007848,University of Chester,"10,655","4,755",0,0,"15,410"
10007137,The University of Chichester,"3,455","2,065",0,0,"5,520"
10001386,Chicken Shed Theatre Company,50,35,0,0,85
10001546,The College of Integrated Chinese Medicine,105,25,0,0,130
10001419,Christie's Education Limited,65,10,0,0,75
10026921,Christ the Redeemer College,10,10,0,0,20
10010213,The City College,210,135,0,40,385
10001478,"City, University of London","11,225","8,550",5,0,"19,780"
10007912,Cliff College,75,70,0,0,145
10013357,The Academy of Contemporary Music,335,745,5,0,"1,085"
10001653,Conservatoire for Dance and Drama,915,505,5,0,"1,425"
10007761,Courtauld Institute of Art,400,100,5,0,505
10034324,Court Theatre Training Company Ltd,25,20,0,0,45
10001726,Coventry University,"16,210","17,900",15,0,"34,125"
10007822,Cranfield University,"1,105","3,185",0,0,"4,290"
10006427,University for the Creative Arts,"4,560","2,045",15,0,"6,620"
10007842,University of Cumbria,"5,150","2,425",5,0,"7,580"
10001883,De Montfort University,"14,220","11,475",0,0,"25,695"
10007851,University of Derby,"10,740","7,750",0,0,"18,490"
10007852,The University of Dundee,"9,745","5,475",0,0,"15,215"
10007143,University of Durham,"10,010","8,320",0,0,"18,330"
10007789,The University of East Anglia,"10,765","7,025",15,0,"17,805"
10007144,The University of East London,"8,135","4,950",0,0,"13,090"
10032282,The Queen's Foundation for Ecumenical Theological Education,200,155,0,0,355
10007823,Edge Hill University,"9,685","4,570",0,0,"14,255"
10007772,Edinburgh Napier University,"7,300","5,815",0,0,"13,115"
10007790,The University of Edinburgh,"19,740","13,105",40,0,"32,885"
10022047,Empire College London Limited,85,60,0,0,145
10007791,The University of Essex,"8,210","6,505",5,0,"14,725"
10002113,East End Computing and Business College Limited,220,105,0,0,325
10008173,University College of Estate Management,860,"1,890",0,0,"2,755"
10007792,The University of Exeter,"13,050","10,965",30,0,"24,045"
10008640,Falmouth University,"3,540","2,445",20,0,"6,000"
10033187,Fairfield School of Business Ltd,400,325,0,0,725
10045476,Met Film School Limited,115,170,0,0,285
10004511,The National Film and Television School,135,170,0,0,305
10038763,ForMission Ltd,85,100,0,0,185
10022087,Futureworks,85,400,0,0,490
10007762,Glasgow Caledonian University,"9,570","6,880",0,0,"16,450"
10002681,Glasgow School of Art,"1,510",765,25,0,"2,300"
10007794,The University of Glasgow,"17,565","11,985",175,0,"29,725"
10007145,University of Gloucestershire,"4,940","3,540",10,0,"8,490"
10007833,Glyndŵr University,"3,145","2,595",5,0,"5,745"
10002718,Goldsmiths College,"6,570","3,400",30,0,"10,000"
10030408,Gower College Swansea,80,50,0,0,130
10007146,The University of Greenwich,"10,950","7,725",0,0,"18,675"
10007937,GSM London,"3,050","2,570",0,0,"5,615"
10007825,Guildhall School of Music and Drama,535,535,5,0,"1,075"
10040812,Harper Adams University,"2,770","2,540",0,0,"5,310"
10007764,Heriot-Watt University,"4,470","6,440",0,0,"10,910"
10007147,University of Hertfordshire,"14,025","10,375",0,0,"24,400"
10007765,Heythrop College,100,100,0,0,200
10007148,The University of Huddersfield,"10,245","7,995",0,0,"18,245"
10007149,The University of Hull,"8,560","7,030",0,0,"15,585"
10003239,ICON College of Technology and Management,660,435,0,0,"1,095"
10003270,"Imperial College of Science, Technology and Medicine","7,270","11,105",0,0,"18,375"
10004023,London College of International Business Studies Ltd,10,15,0,0,25
10035638,Institute of Contemporary Music Performance,345,585,5,0,935
10029682,The Islamic College,20,5,0,0,25
10021682,Kaplan Open Learning,580,295,0,0,875
10007767,Keele University,"6,325","4,545",0,0,"10,870"
10003566,Kensington College of Business,270,170,0,0,440
10007150,The University of Kent,"10,570","9,250",5,0,"19,825"
10003645,King's College London,"20,075","11,755",445,0,"32,270"
10008325,KLC School of Design,185,10,0,0,195
10003678,Kingston University,"10,105","7,450",60,0,"17,615"
10009285,Kogan Academy of Dramatic Arts,5,10,0,0,15
10007768,The University of Lancaster,"7,190","7,015",5,0,"14,210"
10066551,LCCM AU UK Limited,90,160,0,0,250
10003854,Leeds Arts University,"1,235",370,0,0,"1,605"
10003861,Leeds Beckett University,"12,770","10,805",0,0,"23,570"
10007795,The University of Leeds,"20,795","13,620",10,0,"34,420"
10003863,Leeds Trinity University,"2,250","1,115",0,0,"3,365"
10007796,The University of Leicester,"9,180","8,145",0,0,"17,325"
10007151,The University of Lincoln,"8,180","6,790",0,0,"14,970"
10003956,Liverpool Hope University,"3,595","1,595",10,0,"5,200"
10003957,Liverpool John Moores University,"12,575","10,655",0,0,"23,230"
10003945,The Liverpool Institute for Performing Arts,440,355,0,0,795
10006842,The University of Liverpool,"15,855","12,940",0,0,"28,795"
10003958,Liverpool School of Tropical Medicine,300,135,0,0,435
10007820,Grŵp Llandrillo Menai,785,620,0,0,"1,410"
10007162,"University of the Arts, London","14,220","4,725",25,0,"18,970"
10004060,London School of Business and Finance (UK) Limited,10,0,0,0,10
10013109,London Bridge Business Academy,85,45,0,0,135
10007769,London Business School,665,"1,250",0,0,"1,915"
10030391,London Churchill College Ltd,465,445,0,0,910
10007797,University of London (Institutes and activities),130,95,0,0,225
10039082,City and Guilds of London Art School,75,30,0,30,135
10023434,London School of Commerce & IT Limited,25,25,0,0,50
10015506,The London College UCK,400,485,0,0,885
10004048,London Metropolitan University,"6,280","3,485",0,0,"9,765"
10032594,London School of Academics Ltd,50,65,0,0,115
10004078,London South Bank University,"10,140","6,980",5,0,"17,130"
10004063,London School of Economics and Political Science,"6,225","5,390",10,0,"11,620"
10007771,London School of Hygiene and Tropical Medicine,705,380,0,0,"1,085"
10022285,London School of Management Education,185,130,0,0,315
10004075,London School of Theology,155,195,0,0,345
10022944,Stratford College London Limited,195,200,0,0,395
10004079,London Studio Centre,305,40,0,0,345
10000939,West London College,0,0,0,0,0
10008289,The London Institute of Banking & Finance,70,155,0,0,225
10004113,Loughborough University,"6,960","10,350",0,0,"17,315"
10009612,Luther King House Educational Trust,60,55,0,0,115
10004180,The Manchester Metropolitan University,"19,415","13,660",5,0,"33,080"
10007798,The University of Manchester,"21,490","18,650",0,0,"40,140"
10009527,Istituto Marangoni Limited,705,75,0,0,775
10023452,The Markfield Institute of Higher Education,25,50,0,0,75
10023453,Matrix College of Counselling and Psychotherapy Ltd,50,15,0,0,65
10020416,Missio Dei,35,55,0,0,90
10030776,St Mellitus College,250,245,0,0,495
