UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007783,The University of Aberdeen,"1,425",120,"1,545"
10007849,Abertay University,180,30,210
10007856,Aberystwyth University,485,210,695
10067853,ACM Guildford Limited,40,70,110
10000163,AECC University College,55,0,55
10000291,Anglia Ruskin University,755,75,830
10005451,Arden University,85,0,85
10007759,Aston University,685,245,930
10038772,British Academy of Jewellery Limited,15,0,15
10007857,Bangor University,525,470,995
10000571,Bath Spa University,420,190,610
10007850,The University of Bath,945,605,"1,550"
10036456,Backstage Academy (Training) Ltd,10,0,10
10007152,University of Bedfordshire,435,95,530
10005343,Queen's University Belfast,"1,250",765,"2,020"
10037544,BIMM Limited,210,435,645
10007760,Birkbeck College,585,490,"1,075"
10007140,Birmingham City University,"1,230",755,"1,985"
10006840,The University of Birmingham,"2,280","1,600","3,880"
10000712,University College Birmingham,255,10,265
10007811,Bishop Grosseteste University,105,15,120
10004061,Bloomsbury Institute,5,0,5
10006841,The University of Bolton,380,45,425
10000385,The Arts University Bournemouth,355,15,370
10000824,Bournemouth University,850,75,920
10007785,The University of Bradford,480,65,540
10000886,The University of Brighton,"1,110",310,"1,420"
10000936,The University College of Osteopathy,75,5,80
10007786,The University of Bristol,"3,010",440,"3,450"
10000961,Brunel University London,730,430,"1,160"
10000975,Buckinghamshire New University,280,165,445
10007788,The University of Cambridge,"3,735","2,425","6,160"
10003324,The Institute of Cancer Research,310,385,695
10001143,Canterbury Christ Church University,650,90,740
10007814,Cardiff University,"2,440",940,"3,380"
10007854,Cardiff Metropolitan University,670,70,740
10007141,The University of Central Lancashire,"1,230",365,"1,595"
10024024,Central Film School London,5,0,5
10007848,University of Chester,520,135,655
10007137,The University of Chichester,345,130,475
10001386,Chicken Shed Theatre Company,25,0,25
10001478,"City, University of London","1,930",585,"2,515"
10007912,Cliff College,10,0,10
10066502,The College of Health Ltd,0,0,0
10001653,Conservatoire for Dance and Drama,150,5,160
10007761,Courtauld Institute of Art,35,35,70
10034324,Court Theatre Training Company Ltd,0,10,10
10001726,Coventry University,"2,220",615,"2,835"
10007822,Cranfield University,505,190,695
10006427,University for the Creative Arts,375,30,400
10007842,University of Cumbria,350,115,465
10001883,De Montfort University,"1,505",145,"1,650"
10007851,University of Derby,"1,310",90,"1,400"
10007852,The University of Dundee,"1,160",305,"1,465"
10007143,University of Durham,"1,335",840,"2,175"
10007789,The University of East Anglia,"1,190",645,"1,840"
10007144,The University of East London,555,260,815
10032282,The Queen's Foundation for Ecumenical Theological Education,10,0,10
10007823,Edge Hill University,560,345,905
10007772,Edinburgh Napier University,605,180,785
10007790,The University of Edinburgh,"3,885","3,845","7,730"
10007791,The University of Essex,"1,020",395,"1,415"
10008173,University College of Estate Management,50,55,100
10007792,The University of Exeter,"1,955","1,395","3,350"
10008640,Falmouth University,330,15,345
10004511,The National Film and Television School,55,15,70
10022087,Futureworks,25,0,25
10007762,Glasgow Caledonian University,650,105,755
10002681,Glasgow School of Art,200,20,220
10007794,The University of Glasgow,"3,155","1,750","4,905"
10007145,University of Gloucestershire,445,180,625
10007833,Glyndŵr University,180,15,195
10002718,Goldsmiths College,665,445,"1,110"
10007146,The University of Greenwich,865,105,970
10007825,Guildhall School of Music and Drama,645,140,785
10040812,Harper Adams University,180,50,230
10080811,Hartpury University,120,25,145
10007764,Heriot-Watt University,635,320,950
10007147,University of Hertfordshire,"1,825",140,"1,960"
10007148,The University of Huddersfield,820,105,925
10007149,The University of Hull,715,215,925
10003239,ICON College of Technology and Management,15,0,15
10003270,"Imperial College of Science, Technology and Medicine","2,140","2,390","4,530"
10013220,Institute of Art - London Limited,20,0,20
10035638,Institute of Contemporary Music Performance,20,0,20
10082570,Kaplan International Colleges U.K. Limited,165,185,350
10021682,Kaplan Open Learning,20,0,20
10007767,Keele University,655,165,820
10007150,The University of Kent,870,605,"1,475"
10003645,King's College London,"2,425","2,590","5,015"
10003678,Kingston University,900,55,955
10003758,LAMDA Limited,25,30,55
10007768,The University of Lancaster,"1,395",705,"2,100"
10003854,Leeds Arts University,170,15,185
10003861,Leeds Beckett University,925,245,"1,170"
10034449,Leeds Conservatoire,200,35,235
10007795,The University of Leeds,"2,720","1,050","3,770"
10003863,Leeds Trinity University,170,10,180
10007796,The University of Leicester,"1,285",425,"1,705"
10007151,The University of Lincoln,"1,260",150,"1,415"
10003956,Liverpool Hope University,265,20,285
10003957,Liverpool John Moores University,"1,255",380,"1,640"
10003945,The Liverpool Institute for Performing Arts,90,5,95
10006842,The University of Liverpool,"1,935","1,150","3,085"
10003958,Liverpool School of Tropical Medicine,115,120,235
10007162,"University of the Arts, London","1,320",995,"2,315"
