UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007769,London Business School,105,5,115
10007797,University of London (Institutes and activities),60,40,95
10004036,London Film School Limited,30,5,35
10004048,London Metropolitan University,435,25,465
10004078,London South Bank University,635,525,"1,160"
10004063,London School of Economics and Political Science,720,"1,055","1,780"
10007771,London School of Hygiene and Tropical Medicine,290,765,"1,055"
10022285,London School of Management Education,5,10,15
10004075,London School of Theology,20,0,25
10062810,The London School of Architecture,5,0,5
10008289,The London Institute of Banking & Finance,10,5,15
10067623,The London Interdisciplinary School Ltd,10,0,10
10004113,Loughborough University,"1,190",405,"1,595"
10009612,Luther King House Educational Trust,5,0,5
10004180,The Manchester Metropolitan University,"1,670",680,"2,345"
10007798,The University of Manchester,"2,880","2,180","5,060"
10030776,St Mellitus College,40,0,40
10004320,The Metanoia Institute,35,45,80
10004351,Middlesex University,855,125,980
10023777,Mont Rose College of Management and Sciences,30,0,30
10023454,Moorlands College,15,20,30
10004538,Nazarene Theological College,15,0,15
10030129,Nelson College London Ltd,5,0,5
10007799,Newcastle University,"1,860","1,150","3,010"
10048199,New College of the Humanities,40,25,65
10007832,Newman University,115,10,130
10067406,New Model Institute for Technology and Engineering (NMITE),10,0,10
10007138,The University of Northampton,570,200,765
10001282,University of Northumbria at Newcastle,"1,480",215,"1,695"
10004775,Norwich University of the Arts,195,30,225
10007154,University of Nottingham,"2,415","1,080","3,495"
10004797,The Nottingham Trent University,"2,230",185,"2,415"
10007773,The Open University,"1,055","4,050","5,105"
10004930,Oxford Brookes University,"1,300",180,"1,480"
10007774,The University of Oxford,"2,355","4,625","6,980"
10042570,Pearson College,35,0,35
10005127,Plymouth College of Art,120,10,130
10007801,University of Plymouth,990,575,"1,560"
10019178,Point Blank Music School,50,0,50
10007155,The University of Portsmouth,"1,180",555,"1,730"
10005337,"Queen Margaret University, Edinburgh",190,75,260
10007775,Queen Mary University of London,"1,375","1,755","3,130"
10009292,Royal Academy of Dramatic Art,75,0,75
10005389,Ravensbourne University London,100,155,255
10007802,The University of Reading,"1,005",785,"1,785"
10008455,Regent College,60,5,60
10005500,Robert Gordon University,485,100,585
10007776,Roehampton University,450,40,490
10005523,Rose Bruford College of Theatre and Performance,40,55,95
10007835,Royal Academy of Music,270,40,310
10005545,Royal Agricultural University,55,10,60
10007777,Royal College of Art,170,20,190
10007778,Royal College of Music,270,30,300
10005561,Royal Conservatoire of Scotland,295,25,315
10007816,The Royal Central School of Speech and Drama,70,15,85
10005553,Royal Holloway and Bedford New College,665,400,"1,070"
10007837,Royal Northern College of Music,320,5,325
10007779,The Royal Veterinary College,220,95,315
10007803,The University of St. Andrews,820,505,"1,325"
10007839,SAE Education Limited,40,10,50
10007782,"St George's, University of London",340,165,505
10008026,St Mary's University College,40,25,65
10007843,"St Mary's University, Twickenham",265,175,440
10007156,The University of Salford,965,125,"1,090"
10007780,SOAS University of London,305,200,500
10005700,SRUC,380,50,430
10005790,Sheffield Hallam University,"1,865",165,"2,025"
10007157,The University of Sheffield,"2,245","1,275","3,520"
10006022,Solent University,535,65,600
10007158,The University of Southampton,"1,685",960,"2,645"
10006093,Spurgeon's College,15,0,15
10006299,Staffordshire University,580,320,895
10007804,The University of Stirling,615,250,865
10037449,University of St Mark and St John,85,25,115
10008010,Stranmillis University College,40,20,60
10007805,The University of Strathclyde,"1,295",570,"1,865"
10014001,University of Suffolk,225,25,250
10007159,The University of Sunderland,915,70,985
10007160,The University of Surrey,"1,045",530,"1,575"
10007806,The University of Sussex,"1,275",890,"2,170"
10007855,Swansea University,"1,235",430,"1,665"
10083403,TEDI-London,0,0,0
10007161,Teesside University,710,115,830
10082743,ThinkSpace Education Limited,5,0,5
10008017,Trinity Laban Conservatoire of Music and Dance,410,20,430
10007858,University of Wales Trinity Saint David,520,180,700
10067648,University Academy 92 Limited,10,0,10
10007114,University of the Highlands and Islands,70,25,95
10007807,Ulster University,840,600,"1,440"
10039956,The University of Law,385,5,390
10007784,University College London,"8,090","1,010","9,100"
10007793,University of South Wales,"1,530",135,"1,665"
10007163,The University of Warwick,"1,785","1,220","3,005"
10007361,Waverley Abbey College,15,0,15
10007164,"University of the West of England, Bristol","1,495",550,"2,050"
10007800,The University of the West of Scotland,570,60,630
10006566,The University of West London,435,710,"1,140"
10007165,The University of Westminster,"1,640",145,"1,785"
10003614,The University of Winchester,400,250,650
10007166,The University of Wolverhampton,945,60,"1,005"
10007139,University of Worcester,455,260,715
10007657,Writtle University College,100,5,110
10007713,York St John University,300,95,395
10007167,The University of York,"1,470",595,"2,070"
,Total,"151,920","72,610","224,530"
