UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007783,The University of Aberdeen,"1,530",40,"1,565"
10007849,Abertay University,180,30,210
10007856,Aberystwyth University,590,260,850
10000291,Anglia Ruskin University,750,55,805
10007759,Aston University,420,255,675
10007857,Bangor University,590,400,990
10000571,Bath Spa University,325,285,610
10007850,The University of Bath,800,540,"1,345"
10007152,University of Bedfordshire,535,100,635
10005343,Queen's University Belfast,"1,120",595,"1,715"
10007760,Birkbeck College,650,620,"1,270"
10007140,Birmingham City University,"1,625",75,"1,700"
10006840,The University of Birmingham,"1,910","1,725","3,635"
10000712,University College Birmingham,280,10,290
10007811,Bishop Grosseteste University,80,15,95
10006841,The University of Bolton,300,25,330
10000385,The Arts University Bournemouth,340,15,355
10000824,Bournemouth University,830,105,935
10007785,The University of Bradford,530,100,630
10000886,The University of Brighton,"1,155",645,"1,800"
10007786,The University of Bristol,"2,160",895,"3,055"
10000961,Brunel University London,625,505,"1,130"
10000975,Buckinghamshire New University,345,120,465
10007787,The University of Buckingham,140,20,160
10007788,The University of Cambridge,"3,770","2,055","5,825"
10003324,The Institute of Cancer Research,270,380,655
10001143,Canterbury Christ Church University,630,100,730
10007814,Cardiff University,"2,410","1,005","3,415"
10007854,Cardiff Metropolitan University,660,55,715
10007141,The University of Central Lancashire,"1,115",325,"1,440"
10007848,University of Chester,400,270,670
10007137,The University of Chichester,365,155,515
10001478,"City, University of London",910,985,"1,895"
10001653,Conservatoire for Dance and Drama,235,15,250
10007761,Courtauld Institute of Art,30,10,45
10001726,Coventry University,"1,460",795,"2,250"
10007822,Cranfield University,500,165,665
10006427,University for the Creative Arts,355,10,370
10007842,University of Cumbria,350,55,405
10001883,De Montfort University,"1,035",265,"1,300"
10007851,University of Derby,"1,210",75,"1,285"
10007852,The University of Dundee,"1,030",435,"1,465"
10007143,University of Durham,"1,170",515,"1,690"
10007789,The University of East Anglia,985,760,"1,745"
10007144,The University of East London,645,255,895
10007823,Edge Hill University,540,500,"1,040"
10007772,Edinburgh Napier University,770,90,865
10007790,The University of Edinburgh,"2,740","1,715","4,455"
10007791,The University of Essex,710,485,"1,195"
