UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007792,The University of Exeter,"1,185",685,"1,870"
10008640,Falmouth University,260,5,265
10004511,The National Film and Television School,15,0,15
10007762,Glasgow Caledonian University,675,120,795
10002681,Glasgow School of Art,165,35,200
10007794,The University of Glasgow,"2,795",865,"3,665"
10007145,University of Gloucestershire,385,255,635
10007833,Glyndŵr University,200,65,265
10002718,Goldsmiths College,635,350,990
10007146,The University of Greenwich,840,400,"1,240"
10007825,Guildhall School of Music and Drama,510,115,625
10040812,Harper Adams University,145,10,155
10007764,Heriot-Watt University,610,215,825
10007147,University of Hertfordshire,"1,390",115,"1,505"
10007765,Heythrop College,35,25,60
10007148,The University of Huddersfield,795,75,870
10007149,The University of Hull,855,175,"1,030"
10003270,"Imperial College of Science, Technology and Medicine","1,960","2,410","4,370"
10007767,Keele University,620,180,800
10007150,The University of Kent,990,"1,000","1,990"
10003645,King's College London,"1,960","2,755","4,710"
10003678,Kingston University,930,105,"1,035"
10007768,The University of Lancaster,920,955,"1,880"
10003854,Leeds Arts University,135,25,165
10003861,Leeds Beckett University,945,540,"1,490"
10007795,The University of Leeds,"2,265","1,075","3,345"
10003863,Leeds Trinity University,135,25,160
10007796,The University of Leicester,"1,350",360,"1,715"
10007151,The University of Lincoln,720,275,995
10003956,Liverpool Hope University,250,30,280
10003957,Liverpool John Moores University,975,380,"1,355"
10003945,The Liverpool Institute for Performing Arts,50,10,60
10006842,The University of Liverpool,"1,730","1,095","2,825"
10003958,Liverpool School of Tropical Medicine,115,180,295
10007162,"University of the Arts, London",980,"1,105","2,085"
10007769,London Business School,100,5,105
10007797,University of London (Institutes and activities),40,40,80
10004048,London Metropolitan University,500,45,545
10004078,London South Bank University,625,310,940
10004063,London School of Economics and Political Science,805,855,"1,655"
10007771,London School of Hygiene and Tropical Medicine,200,595,795
10004113,Loughborough University,935,545,"1,480"
10004180,The Manchester Metropolitan University,"1,480",965,"2,445"
10007798,The University of Manchester,"2,620","2,455","5,075"
10004351,Middlesex University,850,160,"1,010"
10007799,Newcastle University,"1,570","1,185","2,750"
10007832,Newman University,155,5,160
10007138,The University of Northampton,520,270,790
10001282,University of Northumbria at Newcastle,"1,225",160,"1,385"
10004775,Norwich University of the Arts,150,15,160
10007154,University of Nottingham,"2,330","1,080","3,410"
10004797,The Nottingham Trent University,"1,625",110,"1,735"
10007773,The Open University,855,"4,615","5,470"
10004930,Oxford Brookes University,"1,110",175,"1,285"
10007774,The University of Oxford,"2,310","4,630","6,945"
10005127,Arts University Plymouth,115,20,135
10007801,University of Plymouth,940,390,"1,335"
10007155,The University of Portsmouth,"1,105",520,"1,625"
10005337,"Queen Margaret University, Edinburgh",190,65,260
10007775,Queen Mary University of London,"1,320",865,"2,185"
10005389,Ravensbourne University London,75,115,190
10007802,The University of Reading,930,760,"1,690"
10005500,Robert Gordon University,575,150,725
10007776,Roehampton University,490,35,520
10005523,Rose Bruford College of Theatre and Performance,50,25,75
10007835,Royal Academy of Music,220,70,290
10005545,Royal Agricultural University,60,0,60
10007777,Royal College of Art,120,45,165
10007778,Royal College of Music,260,20,280
10005561,Royal Conservatoire of Scotland,285,5,295
10007816,The Royal Central School of Speech and Drama,55,15,70
10005553,Royal Holloway and Bedford New College,675,510,"1,185"
10007837,Royal Northern College of Music,335,5,335
10007779,The Royal Veterinary College,185,110,295
10007803,The University of St. Andrews,720,445,"1,165"
10007782,"St George's, University of London",255,220,470
10008026,St Mary's University College,45,20,60
10007843,"St Mary's University, Twickenham",220,210,430
10007156,The University of Salford,810,115,925
10007780,SOAS University of London,425,350,775
10005700,SRUC,290,60,350
10005790,Sheffield Hallam University,"1,995",80,"2,070"
10007157,The University of Sheffield,"1,995","1,260","3,255"
10006022,Solent University,635,115,750
10007158,The University of Southampton,"1,810","1,180","2,995"
10006299,Staffordshire University,575,355,930
10007804,The University of Stirling,640,320,960
10037449,University of St Mark and St John,100,10,110
10008010,Stranmillis University College,45,10,60
10007805,The University of Strathclyde,955,520,"1,475"
10014001,University of Suffolk,180,10,190
10007159,The University of Sunderland,430,380,810
10007160,The University of Surrey,870,470,"1,340"
10007806,The University of Sussex,"1,220",565,"1,785"
10007855,Swansea University,830,485,"1,320"
10007161,Teesside University,650,95,745
10008017,Trinity Laban Conservatoire of Music and Dance,290,50,340
10007858,University of Wales Trinity Saint David,575,75,650
10007114,University of the Highlands and Islands,30,10,40
10007807,Ulster University,910,370,"1,280"
10007784,University College London,"6,920",295,"7,220"
10007793,University of South Wales,"1,695",110,"1,805"
10008574,The University of Wales (central functions),45,5,50
10007163,The University of Warwick,"1,365","1,375","2,740"
10007164,"University of the West of England, Bristol","1,205",405,"1,610"
10007800,The University of the West of Scotland,545,40,585
10006566,The University of West London,340,535,875
10007165,The University of Westminster,950,725,"1,675"
10003614,The University of Winchester,385,330,715
10007166,The University of Wolverhampton,780,50,830
10007139,University of Worcester,455,250,705
10007657,Writtle University College,105,10,110
10007713,York St John University,310,20,330
10007167,The University of York,"1,195",515,"1,710"
,Total,"132,430","69,340","201,770"
