UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007771,London School of Hygiene and Tropical Medicine,255,500,755
10004113,Loughborough University,"1,050",560,"1,610"
10004180,The Manchester Metropolitan University,"1,525","1,030","2,560"
10007798,The University of Manchester,"2,650","2,470","5,120"
10004351,Middlesex University,895,160,"1,055"
10007799,Newcastle University,"1,750","1,235","2,980"
10007832,Newman University,155,10,165
10007138,The University of Northampton,570,255,825
10001282,University of Northumbria at Newcastle,"1,230",190,"1,420"
10004775,Norwich University of the Arts,175,30,205
10007154,University of Nottingham,"2,365","1,030","3,395"
10004797,The Nottingham Trent University,"1,920",125,"2,045"
10007773,The Open University,865,"4,145","5,005"
10004930,Oxford Brookes University,"1,225",190,"1,415"
10007774,The University of Oxford,"2,205","4,425","6,630"
10005127,Arts University Plymouth,130,5,135
10007801,University of Plymouth,905,400,"1,300"
10007155,The University of Portsmouth,"1,180",505,"1,690"
10005337,"Queen Margaret University, Edinburgh",195,65,260
10007775,Queen Mary University of London,"1,335","1,760","3,095"
10005389,Ravensbourne University London,90,115,205
10007802,The University of Reading,"1,010",785,"1,795"
10005500,Robert Gordon University,525,180,705
10007776,Roehampton University,555,45,600
10005523,Rose Bruford College of Theatre and Performance,40,40,80
10007835,Royal Academy of Music,220,75,290
10005545,Royal Agricultural University,60,0,60
10007777,Royal College of Art,150,25,175
10007778,Royal College of Music,265,25,290
10005561,Royal Conservatoire of Scotland,310,15,325
10007816,The Royal Central School of Speech and Drama,70,5,75
10005553,Royal Holloway and Bedford New College,700,485,"1,185"
10007837,Royal Northern College of Music,305,5,310
10007779,The Royal Veterinary College,195,100,295
10007803,The University of St. Andrews,720,455,"1,175"
10007782,"St George's, University of London",365,170,535
10008026,St Mary's University College,40,20,60
10007843,"St Mary's University, Twickenham",280,145,425
10007156,The University of Salford,905,90,995
10007780,SOAS University of London,385,445,835
10005700,SRUC,250,45,295
10005790,Sheffield Hallam University,"1,910",115,"2,025"
10007157,The University of Sheffield,"2,150","1,130","3,280"
10006022,Solent University,590,115,705
10007158,The University of Southampton,"1,830","1,055","2,890"
10006299,Staffordshire University,520,375,895
10007804,The University of Stirling,550,430,980
10037449,University of St Mark and St John,75,10,85
10008010,Stranmillis University College,45,5,50
10007805,The University of Strathclyde,"1,065",600,"1,665"
10014001,University of Suffolk,175,15,190
10007159,The University of Sunderland,505,270,770
10007160,The University of Surrey,"1,015",465,"1,480"
10007806,The University of Sussex,"1,105",900,"2,010"
10007855,Swansea University,"1,145",440,"1,585"
10007161,Teesside University,595,110,710
10008017,Trinity Laban Conservatoire of Music and Dance,365,40,405
10007858,University of Wales Trinity Saint David,670,80,745
10007114,University of the Highlands and Islands,65,10,75
10007807,Ulster University,790,475,"1,265"
10007784,University College London,"7,270",405,"7,675"
10007793,University of South Wales,"1,615",100,"1,710"
10008574,The University of Wales (central functions),35,5,35
10007163,The University of Warwick,"1,565","1,350","2,910"
10007164,"University of the West of England, Bristol","1,350",430,"1,780"
10007800,The University of the West of Scotland,555,45,600
10006566,The University of West London,395,595,990
10007165,The University of Westminster,"1,530",80,"1,610"
10003614,The University of Winchester,415,305,720
10007166,The University of Wolverhampton,825,70,895
10007139,University of Worcester,465,450,915
10007657,Writtle University College,95,10,105
10007713,York St John University,325,15,340
10007167,The University of York,"1,300",560,"1,860"
,Total,"141,035","70,945","211,980"
