UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007783,The University of Aberdeen,"1,375",35,"1,410"
10007849,Abertay University,190,25,220
10007856,Aberystwyth University,560,215,770
10000163,AECC University College,45,0,50
10000291,Anglia Ruskin University,810,75,885
10007759,Aston University,505,285,785
10007857,Bangor University,610,365,975
10000571,Bath Spa University,450,205,655
10007850,The University of Bath,885,545,"1,435"
10007152,University of Bedfordshire,490,70,565
10005343,Queen's University Belfast,"1,100",695,"1,795"
10007760,Birkbeck College,645,320,965
10007140,Birmingham City University,"1,815",125,"1,940"
10006840,The University of Birmingham,"2,090","1,790","3,880"
10000712,University College Birmingham,265,15,280
10007811,Bishop Grosseteste University,95,10,105
10006841,The University of Bolton,320,25,345
10000385,The Arts University Bournemouth,370,15,380
10000824,Bournemouth University,890,80,970
10007785,The University of Bradford,505,70,575
10000886,The University of Brighton,"1,130",540,"1,670"
10000936,The University College of Osteopathy,100,5,100
10007786,The University of Bristol,"2,640",480,"3,120"
10000961,Brunel University London,590,500,"1,090"
10000975,Buckinghamshire New University,285,125,410
10007787,The University of Buckingham,140,15,155
10007788,The University of Cambridge,"3,915","2,195","6,110"
10003324,The Institute of Cancer Research,290,385,675
10001143,Canterbury Christ Church University,675,130,800
10007814,Cardiff University,"2,545",975,"3,520"
10007854,Cardiff Metropolitan University,615,80,695
10007141,The University of Central Lancashire,"1,185",320,"1,505"
10007848,University of Chester,440,180,620
10007137,The University of Chichester,410,160,565
10001478,"City, University of London","1,185",915,"2,100"
10001653,Conservatoire for Dance and Drama,240,45,285
10007761,Courtauld Institute of Art,30,10,40
10001726,Coventry University,"1,870",665,"2,530"
10007822,Cranfield University,540,170,710
10006427,University for the Creative Arts,365,15,375
10007842,University of Cumbria,335,130,465
10001883,De Montfort University,"1,270",215,"1,480"
10007851,University of Derby,"1,325",80,"1,405"
10007852,The University of Dundee,"1,045",360,"1,410"
10007143,University of Durham,"1,090",560,"1,650"
10007789,The University of East Anglia,"1,100",935,"2,035"
10007144,The University of East London,600,255,860
10007823,Edge Hill University,565,465,"1,030"
10007772,Edinburgh Napier University,730,160,895
10007790,The University of Edinburgh,"3,705","3,295","7,000"
10007791,The University of Essex,850,465,"1,310"
10007792,The University of Exeter,"1,390",870,"2,260"
10008640,Falmouth University,285,10,295
10004511,The National Film and Television School,25,0,25
10007762,Glasgow Caledonian University,670,110,780
10002681,Glasgow School of Art,220,15,235
10007794,The University of Glasgow,"2,935","1,035","3,970"
10007145,University of Gloucestershire,405,225,630
10007833,Glyndŵr University,180,35,215
10002718,Goldsmiths College,705,405,"1,110"
10007146,The University of Greenwich,810,455,"1,270"
10007825,Guildhall School of Music and Drama,625,70,695
10040812,Harper Adams University,140,40,180
10007764,Heriot-Watt University,605,240,840
10007147,University of Hertfordshire,"1,750",180,"1,925"
10007765,Heythrop College,30,15,45
10007148,The University of Huddersfield,820,95,920
10007149,The University of Hull,830,190,"1,025"
10003270,"Imperial College of Science, Technology and Medicine","2,025","2,250","4,275"
10007767,Keele University,660,175,830
10007150,The University of Kent,855,615,"1,470"
10003645,King's College London,"2,130","2,840","4,970"
10003678,Kingston University,905,110,"1,015"
10007768,The University of Lancaster,"1,000","1,105","2,105"
10003854,Leeds Arts University,140,20,160
10003861,Leeds Beckett University,925,450,"1,375"
10007795,The University of Leeds,"2,555",945,"3,500"
10003863,Leeds Trinity University,150,25,175
10007796,The University of Leicester,"1,245",430,"1,675"
10007151,The University of Lincoln,840,420,"1,260"
10003956,Liverpool Hope University,275,45,320
10003957,Liverpool John Moores University,"1,200",345,"1,545"
10003945,The Liverpool Institute for Performing Arts,65,10,80
10006842,The University of Liverpool,"1,840","1,090","2,935"
10003958,Liverpool School of Tropical Medicine,65,150,215
10007162,"University of the Arts, London","1,050","1,180","2,230"
10007769,London Business School,110,0,115
10007797,University of London (Institutes and activities),40,50,95
10004048,London Metropolitan University,420,15,435
10004078,London South Bank University,635,480,"1,115"
10004063,London School of Economics and Political Science,740,980,"1,725"
