UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10040812,Harper Adams University,195,35,230
10080811,Hartpury University,155,25,175
10007764,Heriot-Watt University,620,245,865
10007147,University of Hertfordshire,"1,890",150,"2,045"
10007148,The University of Huddersfield,830,105,935
10007149,The University of Hull,695,210,910
10003239,ICON College of Technology and Management,20,0,25
10003270,"Imperial College of Science, Technology and Medicine","2,155","2,290","4,440"
10013220,Institute of Art - London Limited,20,0,20
10035638,Institute of Contemporary Music Performance,20,0,20
10082570,Kaplan International Colleges U.K. Limited,170,240,410
10021682,Kaplan Open Learning,25,0,25
10007767,Keele University,670,170,840
10007150,The University of Kent,915,520,"1,435"
10003645,King's College London,"2,470","3,245","5,715"
10003678,Kingston University,900,60,955
10003758,LAMDA Limited,25,30,55
10007768,The University of Lancaster,"1,460",775,"2,240"
10003854,Leeds Arts University,165,10,170
10003861,Leeds Beckett University,"1,160",275,"1,440"
10034449,Leeds Conservatoire,205,45,250
10007795,The University of Leeds,"2,805",955,"3,760"
10003863,Leeds Trinity University,200,5,205
10082828,College of Legal Practice Limited,5,0,5
10007796,The University of Leicester,"1,225",430,"1,655"
10007151,The University of Lincoln,"1,270",135,"1,405"
10003956,Liverpool Hope University,295,40,335
10003957,Liverpool John Moores University,"1,255",435,"1,690"
10003945,The Liverpool Institute for Performing Arts,95,5,100
10006842,The University of Liverpool,"1,965","1,145","3,110"
10003958,Liverpool School of Tropical Medicine,115,135,250
10007162,"University of the Arts, London","1,390","2,280","3,670"
10007769,London Business School,105,5,110
10007797,University of London (Institutes and activities),55,20,75
10004036,London Film School Limited,35,5,40
10004048,London Metropolitan University,445,20,470
10004078,London South Bank University,650,545,"1,195"
10004063,London School of Economics and Political Science,750,"1,080","1,830"
10007771,London School of Hygiene and Tropical Medicine,300,785,"1,090"
10022285,London School of Management Education,5,5,15
10004075,London School of Theology,25,0,25
10062810,The London School of Architecture,5,0,5
10008289,The London Institute of Banking & Finance,10,20,30
10067623,The London Interdisciplinary School Ltd,10,0,10
10004113,Loughborough University,"1,140",450,"1,590"
10009612,Luther King House Educational Trust,5,0,5
10004180,The Manchester Metropolitan University,"1,645",675,"2,320"
10007798,The University of Manchester,"3,010","2,270","5,280"
10023453,Matrix College of Counselling and Psychotherapy Ltd,0,0,0
10030776,St Mellitus College,35,0,35
10004320,The Metanoia Institute,40,55,95
10004351,Middlesex University,845,90,935
10023777,Mont Rose College of Management and Sciences,40,0,40
10023454,Moorlands College,10,15,25
10004538,Nazarene Theological College,20,0,20
10030129,Nelson College London Ltd,5,5,10
10007799,Newcastle University,"2,060",970,"3,030"
10048199,New College of the Humanities,55,35,90
10007832,Newman University,125,15,140
10067406,New Model Institute for Technology and Engineering (NMITE),15,0,15
10007138,The University of Northampton,595,270,860
10001282,University of Northumbria at Newcastle,"1,495",230,"1,720"
10004775,Norwich University of the Arts,210,25,240
10007154,University of Nottingham,"2,485","1,055","3,540"
10004797,The Nottingham Trent University,"2,400",210,"2,610"
10007773,The Open University,"1,125","4,670","5,800"
10004930,Oxford Brookes University,"1,390",180,"1,570"
10007774,The University of Oxford,"2,350","4,600","6,945"
10042570,Pearson College,35,0,40
10005127,Arts University Plymouth,105,15,120
10007801,University of Plymouth,"1,065",570,"1,635"
10019178,Point Blank Music School,85,0,85
10007155,The University of Portsmouth,"1,185",605,"1,785"
10005337,"Queen Margaret University, Edinburgh",220,85,300
10007775,Queen Mary University of London,"1,395","1,910","3,300"
10009292,Royal Academy of Dramatic Art,70,5,75
10005389,Ravensbourne University London,85,135,225
10007802,The University of Reading,"1,030",660,"1,690"
10008455,Regent College,130,5,135
10005500,Robert Gordon University,525,115,640
10007776,Roehampton University,470,30,500
10005523,Rose Bruford College of Theatre and Performance,40,65,105
10007835,Royal Academy of Music,275,30,300
10005545,Royal Agricultural University,55,10,65
10007777,Royal College of Art,165,25,190
10007778,Royal College of Music,260,25,285
10005561,Royal Conservatoire of Scotland,300,35,335
10007816,The Royal Central School of Speech and Drama,65,20,85
10005553,Royal Holloway and Bedford New College,695,465,"1,165"
10007837,Royal Northern College of Music,300,10,310
10007779,The Royal Veterinary College,215,85,300
10007803,The University of St. Andrews,835,520,"1,355"
10007839,SAE Education Limited,50,5,50
10007782,"St George's, University of London",325,155,480
10008026,St Mary's University College,35,25,60
10007843,"St Mary's University, Twickenham",285,165,450
10007156,The University of Salford,940,125,"1,065"
10007780,SOAS University of London,310,205,515
10005700,SRUC,395,45,440
10005790,Sheffield Hallam University,"1,905",190,"2,095"
10007157,The University of Sheffield,"2,380","1,230","3,610"
10006022,Solent University,505,70,575
10007158,The University of Southampton,"1,665",935,"2,600"
10006093,Spurgeon's College,15,0,15
10006299,Staffordshire University,650,365,"1,015"
10007804,The University of Stirling,670,320,990
10037449,University of St Mark and St John,95,20,120
10008010,Stranmillis University College,40,30,70
10007805,The University of Strathclyde,"1,330",600,"1,930"
10014001,University of Suffolk,240,35,275
10007159,The University of Sunderland,"1,050",105,"1,160"
10007160,The University of Surrey,"1,075",560,"1,635"
10007806,The University of Sussex,"1,295",855,"2,150"
10007855,Swansea University,"1,215",470,"1,685"
10083403,The Engineering and Design Institute London,10,0,10
10007161,Teesside University,740,105,845
10082743,ThinkSpace Education Limited,5,0,5
10008017,Trinity Laban Conservatoire of Music and Dance,415,25,440
10007858,University of Wales Trinity Saint David,505,275,785
10067648,University Academy 92 Limited,25,5,30
10007114,University of the Highlands and Islands,70,20,95
10007807,Ulster University,885,590,"1,480"
10039956,The University of Law,480,5,480
10007784,University College London,"8,570","1,015","9,585"
10007793,University of South Wales,"1,585",135,"1,715"
10029843,Waltham International College Limited,15,5,20
10007163,The University of Warwick,"1,785","1,375","3,160"
10007361,Waverley Abbey College,20,0,20
10007164,"University of the West of England, Bristol","1,625",635,"2,260"
10007800,The University of the West of Scotland,575,80,655
10006566,The University of West London,470,945,"1,420"
10007165,The University of Westminster,"1,730",145,"1,875"
10003614,The University of Winchester,420,305,725
10007166,The University of Wolverhampton,955,55,"1,010"
10007139,University of Worcester,460,240,700
10007657,Writtle University College,105,10,115
10007713,York St John University,375,45,420
10007167,The University of York,"1,640",660,"2,295"
,Total,"156,450","77,475","233,930"
