UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007783,The University of Aberdeen,"1,465",160,"1,620"
10007849,Abertay University,180,45,225
10007856,Aberystwyth University,480,220,700
10067853,ACM Guildford Limited,110,0,110
10000163,AECC University College,55,5,60
10000291,Anglia Ruskin University,845,70,920
10005451,Arden University,195,145,335
10007759,Aston University,715,235,950
10038772,British Academy of Jewellery Limited,20,0,20
10007857,Bangor University,505,415,920
10000571,Bath Spa University,405,220,625
10007850,The University of Bath,960,570,"1,525"
10036456,Backstage Academy (Training) Ltd,15,0,15
10007152,University of Bedfordshire,465,70,540
10005343,Queen's University Belfast,"1,290",755,"2,045"
10037544,BIMM University,240,585,820
10007760,Birkbeck College,605,435,"1,040"
10007140,Birmingham City University,"1,230",795,"2,025"
10006840,The University of Birmingham,"2,280","1,815","4,100"
10000712,University College Birmingham,220,10,225
10007811,Bishop Grosseteste University,105,25,135
10004061,Bloomsbury Institute,15,20,35
10006841,The University of Bolton,430,35,465
10000385,The Arts University Bournemouth,380,15,395
10000824,Bournemouth University,855,80,930
10007785,The University of Bradford,520,50,565
10000886,The University of Brighton,"1,180",330,"1,510"
10000936,The University College of Osteopathy,55,5,60
10007786,The University of Bristol,"3,145",450,"3,595"
10000961,Brunel University London,775,540,"1,315"
10000975,Buckinghamshire New University,275,240,515
10007788,The University of Cambridge,"3,435","2,695","6,130"
10003324,The Institute of Cancer Research,305,375,680
10001143,Canterbury Christ Church University,675,70,745
10007814,Cardiff University,"2,445",955,"3,400"
10007854,Cardiff Metropolitan University,690,80,770
10007141,The University of Central Lancashire,"1,505",205,"1,710"
10024024,Central Film School London,5,0,5
10007848,University of Chester,530,120,645
10007137,The University of Chichester,360,145,510
10001386,Chicken Shed Theatre Company,25,0,25
10001478,"City, University of London","1,510",235,"1,750"
10007912,Cliff College,10,0,10
10066502,The College of Health Ltd,5,0,5
10001653,Conservatoire for Dance and Drama,115,15,130
10007761,Courtauld Institute of Art,35,45,80
10034324,Court Theatre Training Company Ltd,0,10,10
10001726,Coventry University,"2,210",680,"2,890"
10007822,Cranfield University,535,195,730
10006427,University for the Creative Arts,390,50,440
10007842,University of Cumbria,380,140,520
10001883,De Montfort University,"1,440",195,"1,635"
10007851,University of Derby,"1,320",90,"1,410"
10007852,The University of Dundee,"1,135",310,"1,445"
10007143,University of Durham,"1,440",870,"2,310"
10007789,The University of East Anglia,"1,215",760,"1,980"
10007144,The University of East London,605,320,930
10032282,The Queen's Foundation for Ecumenical Theological Education,15,0,15
10007823,Edge Hill University,610,335,945
10007772,Edinburgh Napier University,665,225,890
10007790,The University of Edinburgh,"3,835","3,890","7,725"
10007791,The University of Essex,"1,085",415,"1,500"
10008173,University College of Estate Management,45,60,105
10007792,The University of Exeter,"2,060","1,525","3,585"
10008640,Falmouth University,360,20,380
10004511,The National Film and Television School,55,20,70
10022087,Futureworks,25,0,25
10007762,Glasgow Caledonian University,675,115,790
10002681,Glasgow School of Art,200,25,225
10007794,The University of Glasgow,"3,170","2,085","5,255"
10007145,University of Gloucestershire,470,205,675
10007833,Glyndŵr University,195,10,205
10002718,Goldsmiths College,640,530,"1,170"
10007146,The University of Greenwich,870,85,955
10007825,Guildhall School of Music and Drama,690,130,820
