UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007783,The University of Aberdeen,"1,390",120,"1,510"
10007849,Abertay University,180,35,215
10007856,Aberystwyth University,515,195,710
10067853,ACM Guildford Limited,30,0,30
10000163,AECC University College,50,0,50
10000291,Anglia Ruskin University,770,65,835
10005451,Arden University,55,0,55
10007759,Aston University,665,240,905
10007857,Bangor University,550,460,"1,010"
10000571,Bath Spa University,415,160,575
10007850,The University of Bath,980,530,"1,510"
10007152,University of Bedfordshire,430,75,505
10005343,Queen's University Belfast,"1,245",810,"2,055"
10037544,BIMM University,135,300,435
10007760,Birkbeck College,630,475,"1,105"
10007140,Birmingham City University,"1,735",245,"1,985"
10006840,The University of Birmingham,"2,275","1,870","4,145"
10000712,University College Birmingham,275,20,295
10007811,Bishop Grosseteste University,105,10,115
10006841,The University of Bolton,360,45,405
10000385,The Arts University Bournemouth,380,10,390
10000824,Bournemouth University,820,85,900
10007785,The University of Bradford,465,60,525
10000886,The University of Brighton,"1,130",455,"1,580"
10000936,The University College of Osteopathy,95,5,100
10007786,The University of Bristol,"2,905",480,"3,385"
10000961,Brunel University London,690,525,"1,215"
10000975,Buckinghamshire New University,245,165,410
10007787,The University of Buckingham,150,25,175
10007788,The University of Cambridge,"3,765","2,400","6,170"
10003324,The Institute of Cancer Research,305,385,690
10001143,Canterbury Christ Church University,650,90,740
10007814,Cardiff University,"2,370",980,"3,350"
10007854,Cardiff Metropolitan University,655,60,715
10007141,The University of Central Lancashire,"1,290",405,"1,695"
10007848,University of Chester,505,145,650
10007137,The University of Chichester,350,120,470
10001386,Chicken Shed Theatre Company,25,0,25
10001478,"City, University of London","1,775",600,"2,375"
10007912,Cliff College,10,0,10
10001653,Conservatoire for Dance and Drama,190,10,200
10007761,Courtauld Institute of Art,35,20,55
10034324,Court Theatre Training Company Ltd,0,10,10
10001726,Coventry University,"2,055",755,"2,810"
10007822,Cranfield University,480,195,675
10006427,University for the Creative Arts,320,55,380
10007842,University of Cumbria,335,130,465
10001883,De Montfort University,"1,445",200,"1,650"
10007851,University of Derby,"1,405",75,"1,480"
10007852,The University of Dundee,"1,085",350,"1,435"
10007143,University of Durham,"1,285",545,"1,830"
10007789,The University of East Anglia,"1,170",945,"2,115"
10007144,The University of East London,600,260,860
10032282,The Queen's Foundation for Ecumenical Theological Education,15,0,15
10007823,Edge Hill University,570,420,990
10007772,Edinburgh Napier University,625,190,815
10007790,The University of Edinburgh,"3,760","3,730","7,490"
10007791,The University of Essex,940,510,"1,450"
10008173,University College of Estate Management,65,40,105
10007792,The University of Exeter,"1,640","1,505","3,145"
10008640,Falmouth University,315,10,325
10004511,The National Film and Television School,50,15,65
10022087,Futureworks,25,0,25
10007762,Glasgow Caledonian University,645,120,765
10002681,Glasgow School of Art,195,20,215
10007794,The University of Glasgow,"3,125","1,555","4,680"
10007145,University of Gloucestershire,400,200,600
10007833,Glyndŵr University,175,20,195
10002718,Goldsmiths College,690,490,"1,180"
10007146,The University of Greenwich,800,95,895
10007825,Guildhall School of Music and Drama,635,120,755
