UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10040812,Harper Adams University,165,40,205
10080811,Hartpury University,80,10,90
10007764,Heriot-Watt University,605,240,845
10007147,University of Hertfordshire,"1,810",160,"1,970"
10007148,The University of Huddersfield,815,130,945
10007149,The University of Hull,795,210,"1,005"
10003270,"Imperial College of Science, Technology and Medicine","2,065","2,370","4,435"
10035638,Institute of Contemporary Music Performance,15,0,15
10007767,Keele University,625,160,785
10007150,The University of Kent,930,685,"1,610"
10003645,King's College London,"2,345","3,145","5,485"
10003678,Kingston University,905,70,980
10003758,LAMDA Limited,20,15,35
10007768,The University of Lancaster,"1,085","1,090","2,175"
10003854,Leeds Arts University,165,15,175
10003861,Leeds Beckett University,945,320,"1,265"
10034449,Leeds Conservatoire,205,5,210
10007795,The University of Leeds,"2,700","1,115","3,815"
10003863,Leeds Trinity University,140,10,150
10007796,The University of Leicester,"1,290",405,"1,695"
10007151,The University of Lincoln,"1,175",155,"1,330"
10003956,Liverpool Hope University,260,25,285
10003957,Liverpool John Moores University,"1,215",355,"1,570"
10003945,The Liverpool Institute for Performing Arts,80,5,85
10006842,The University of Liverpool,"1,975","1,180","3,155"
10003958,Liverpool School of Tropical Medicine,120,115,235
10007162,"University of the Arts, London","1,245","1,095","2,335"
10007769,London Business School,115,10,120
10007797,University of London (Institutes and activities),55,50,105
10004036,London Film School Limited,30,0,35
10004048,London Metropolitan University,420,25,445
10004078,London South Bank University,595,570,"1,170"
10004063,London School of Economics and Political Science,730,"1,050","1,780"
10007771,London School of Hygiene and Tropical Medicine,300,705,"1,000"
10022285,London School of Management Education,10,5,15
10004075,London School of Theology,25,0,25
10008289,The London Institute of Banking & Finance,10,10,20
10004113,Loughborough University,"1,140",490,"1,630"
10009612,Luther King House Educational Trust,5,0,5
10004180,The Manchester Metropolitan University,"1,635",965,"2,600"
10007798,The University of Manchester,"2,700","2,455","5,150"
10030776,St Mellitus College,40,0,40
10004320,The Metanoia Institute,20,55,75
10004351,Middlesex University,880,110,990
10023777,Mont Rose College of Management and Sciences,30,0,30
10023454,Moorlands College,10,0,10
10004538,Nazarene Theological College,20,0,20
10030129,Nelson College London Ltd,5,0,5
10007799,Newcastle University,"1,790","1,325","3,115"
10048199,New College of the Humanities,25,35,65
10007832,Newman University,130,10,140
10007138,The University of Northampton,585,255,835
10001282,University of Northumbria at Newcastle,"1,370",185,"1,555"
10004775,Norwich University of the Arts,190,25,215
10007154,University of Nottingham,"2,470","1,135","3,605"
10004797,The Nottingham Trent University,"2,160",180,"2,340"
10007773,The Open University,925,"4,145","5,070"
10004930,Oxford Brookes University,"1,275",180,"1,455"
10007774,The University of Oxford,"2,345","4,650","6,995"
10042570,Pearson College,35,0,35
10005127,Arts University Plymouth,125,10,135
10007801,University of Plymouth,905,470,"1,370"
10007155,The University of Portsmouth,"1,150",585,"1,735"
10005337,"Queen Margaret University, Edinburgh",185,70,255
10007775,Queen Mary University of London,"1,365","2,020","3,390"
10009292,Royal Academy of Dramatic Art,70,0,70
10005389,Ravensbourne University London,100,135,235
10007802,The University of Reading,990,905,"1,895"
10005500,Robert Gordon University,500,90,590
10007776,Roehampton University,505,50,555
10005523,Rose Bruford College of Theatre and Performance,35,55,85
10007835,Royal Academy of Music,275,25,300
10005545,Royal Agricultural University,50,5,55
10007777,Royal College of Art,165,15,180
10007778,Royal College of Music,265,35,295
10005561,Royal Conservatoire of Scotland,310,20,330
10007816,The Royal Central School of Speech and Drama,70,10,85
10005553,Royal Holloway and Bedford New College,655,500,"1,150"
10007837,Royal Northern College of Music,325,5,325
10007779,The Royal Veterinary College,205,110,315
10007803,The University of St. Andrews,785,445,"1,230"
10007839,SAE Education Limited,35,10,45
10007782,"St George's, University of London",335,160,495
10008026,St Mary's University College,40,25,65
10007843,"St Mary's University, Twickenham",255,155,410
10007156,The University of Salford,960,130,"1,090"
10007780,SOAS University of London,360,275,635
10005700,SRUC,355,50,410
10005790,Sheffield Hallam University,"1,920",165,"2,085"
10007157,The University of Sheffield,"2,340","1,310","3,650"
10006022,Solent University,555,75,635
10007158,The University of Southampton,"1,760",955,"2,715"
10006093,Spurgeon's College,15,5,20
10006299,Staffordshire University,510,340,855
10007804,The University of Stirling,655,350,"1,005"
10037449,University of St Mark and St John,90,30,120
10008010,Stranmillis University College,40,15,55
10007805,The University of Strathclyde,"1,210",555,"1,770"
10014001,University of Suffolk,215,25,235
10007159,The University of Sunderland,980,65,"1,045"
10007160,The University of Surrey,"1,030",460,"1,490"
10007806,The University of Sussex,"1,170",840,"2,010"
10007855,Swansea University,"1,290",440,"1,730"
10007161,Teesside University,635,110,745
10008017,Trinity Laban Conservatoire of Music and Dance,405,15,425
10007858,University of Wales Trinity Saint David,535,195,730
10007114,University of the Highlands and Islands,70,35,105
10007807,Ulster University,825,520,"1,345"
10039956,The University of Law,330,0,330
10007784,University College London,"7,740",225,"7,965"
10007793,University of South Wales,"1,575",140,"1,720"
10008574,The University of Wales (central functions),10,0,15
10007163,The University of Warwick,"1,735","1,425","3,160"
10007164,"University of the West of England, Bristol","1,430",545,"1,975"
10007800,The University of the West of Scotland,550,40,590
10006566,The University of West London,415,645,"1,060"
10007165,The University of Westminster,"1,640",150,"1,790"
10003614,The University of Winchester,405,280,685
10007166,The University of Wolverhampton,885,80,965
10007139,University of Worcester,480,505,985
10007657,Writtle University College,100,10,110
10007713,York St John University,345,45,390
10007167,The University of York,"1,420",610,"2,030"
,Total,"148,945","74,580","223,525"
