UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007783,The University of Aberdeen,"1,355",75,"1,430"
10007849,Abertay University,185,30,215
10007856,Aberystwyth University,530,220,750
10000163,AECC University College,50,5,55
10000291,Anglia Ruskin University,825,80,900
10007759,Aston University,570,275,845
10007857,Bangor University,595,425,"1,020"
10000571,Bath Spa University,445,230,675
10007850,The University of Bath,955,515,"1,465"
10007152,University of Bedfordshire,450,75,530
10005343,Queen's University Belfast,"1,175",730,"1,905"
10007760,Birkbeck College,625,575,"1,200"
10007140,Birmingham City University,"1,775",135,"1,910"
10006840,The University of Birmingham,"2,215","1,800","4,020"
10000712,University College Birmingham,280,15,295
10007811,Bishop Grosseteste University,100,10,110
10006841,The University of Bolton,335,30,365
10000385,The Arts University Bournemouth,365,15,380
10000824,Bournemouth University,845,95,935
10007785,The University of Bradford,480,65,545
10000886,The University of Brighton,"1,145",515,"1,665"
10000936,The University College of Osteopathy,100,0,100
10007786,The University of Bristol,"2,795",485,"3,285"
10000961,Brunel University London,640,505,"1,145"
10000975,Buckinghamshire New University,260,135,395
10007787,The University of Buckingham,150,25,175
10007788,The University of Cambridge,"3,855","2,360","6,215"
10003324,The Institute of Cancer Research,295,370,665
10001143,Canterbury Christ Church University,655,100,755
10007814,Cardiff University,"2,385",945,"3,330"
10007854,Cardiff Metropolitan University,660,50,715
10007141,The University of Central Lancashire,"1,265",340,"1,610"
10007848,University of Chester,465,200,665
10007137,The University of Chichester,380,140,520
10001478,"City, University of London","1,495",630,"2,125"
10001653,Conservatoire for Dance and Drama,270,40,310
10007761,Courtauld Institute of Art,30,5,40
10001726,Coventry University,"1,905",725,"2,630"
10007822,Cranfield University,495,185,680
10006427,University for the Creative Arts,345,20,365
10007842,University of Cumbria,350,135,485
10001883,De Montfort University,"1,350",190,"1,540"
10007851,University of Derby,"1,350",110,"1,460"
10007852,The University of Dundee,"1,045",360,"1,405"
10007143,University of Durham,"1,150",565,"1,720"
10007789,The University of East Anglia,"1,140",855,"1,995"
10007144,The University of East London,600,235,830
10007823,Edge Hill University,585,455,"1,040"
10007772,Edinburgh Napier University,655,180,840
10007790,The University of Edinburgh,"3,770","3,540","7,310"
10007791,The University of Essex,860,465,"1,320"
10007792,The University of Exeter,"1,500","1,310","2,810"
10008640,Falmouth University,290,20,310
10004511,The National Film and Television School,25,10,35
10007762,Glasgow Caledonian University,630,110,745
10002681,Glasgow School of Art,210,15,225
10007794,The University of Glasgow,"2,980","1,295","4,275"
10007145,University of Gloucestershire,440,170,610
10007833,Glyndŵr University,175,30,205
10002718,Goldsmiths College,655,505,"1,160"
10007146,The University of Greenwich,770,505,"1,275"
10007825,Guildhall School of Music and Drama,625,140,765
10040812,Harper Adams University,160,30,190
10080811,Hartpury University,65,15,80
