UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007764,Heriot-Watt University,595,230,820
10007147,University of Hertfordshire,"1,785",175,"1,960"
10007148,The University of Huddersfield,815,110,925
10007149,The University of Hull,830,195,"1,025"
10003270,"Imperial College of Science, Technology and Medicine","2,080","2,310","4,390"
10007767,Keele University,645,160,805
10007150,The University of Kent,900,615,"1,520"
10003645,King's College London,"2,285","2,935","5,220"
10003678,Kingston University,935,85,"1,020"
10007768,The University of Lancaster,"1,040","1,060","2,100"
10003854,Leeds Arts University,155,20,170
10003861,Leeds Beckett University,925,370,"1,300"
10034449,Leeds Conservatoire,180,5,180
10007795,The University of Leeds,"2,685","1,100","3,785"
10003863,Leeds Trinity University,145,20,170
10007796,The University of Leicester,"1,285",420,"1,705"
10007151,The University of Lincoln,905,430,"1,335"
10003956,Liverpool Hope University,275,30,305
10003957,Liverpool John Moores University,"1,210",345,"1,550"
10003945,The Liverpool Institute for Performing Arts,75,10,85
10006842,The University of Liverpool,"1,865","1,140","3,005"
10003958,Liverpool School of Tropical Medicine,95,130,225
10007162,"University of the Arts, London","1,200","1,015","2,215"
10007769,London Business School,115,5,120
10007797,University of London (Institutes and activities),45,50,100
10004048,London Metropolitan University,395,25,420
10004078,London South Bank University,605,520,"1,125"
10004063,London School of Economics and Political Science,715,"1,010","1,725"
10007771,London School of Hygiene and Tropical Medicine,305,665,965
10004113,Loughborough University,"1,110",540,"1,650"
10004180,The Manchester Metropolitan University,"1,560","1,160","2,725"
10007798,The University of Manchester,"2,585","2,495","5,080"
10004351,Middlesex University,880,145,"1,030"
10007799,Newcastle University,"1,775","1,235","3,010"
10007832,Newman University,140,5,145
10007138,The University of Northampton,580,255,835
10001282,University of Northumbria at Newcastle,"1,295",185,"1,480"
10004775,Norwich University of the Arts,185,25,210
10007154,University of Nottingham,"2,400","1,095","3,495"
10004797,The Nottingham Trent University,"2,010",175,"2,185"
10007773,The Open University,855,"4,150","5,005"
10004930,Oxford Brookes University,"1,225",160,"1,380"
10007774,The University of Oxford,"2,285","4,615","6,905"
10005127,Arts University Plymouth,125,10,135
10007801,University of Plymouth,855,395,"1,250"
10007155,The University of Portsmouth,"1,165",535,"1,705"
10005337,"Queen Margaret University, Edinburgh",185,75,260
10007775,Queen Mary University of London,"1,350","1,885","3,235"
10005389,Ravensbourne University London,95,155,245
10007802,The University of Reading,"1,020",905,"1,925"
10005500,Robert Gordon University,500,160,655
10007776,Roehampton University,525,45,570
10005523,Rose Bruford College of Theatre and Performance,30,40,70
10007835,Royal Academy of Music,260,45,305
10005545,Royal Agricultural University,60,0,60
10007777,Royal College of Art,155,20,175
10007778,Royal College of Music,260,20,280
10005561,Royal Conservatoire of Scotland,325,15,340
10007816,The Royal Central School of Speech and Drama,75,15,85
10005553,Royal Holloway and Bedford New College,690,460,"1,150"
10007837,Royal Northern College of Music,320,5,325
10007779,The Royal Veterinary College,205,110,315
10007803,The University of St. Andrews,770,455,"1,225"
10007782,"St George's, University of London",400,160,565
10008026,St Mary's University College,40,25,65
10007843,"St Mary's University, Twickenham",255,140,395
10007156,The University of Salford,920,115,"1,035"
10007780,SOAS University of London,395,305,700
10005700,SRUC,355,50,405
10005790,Sheffield Hallam University,"1,965",165,"2,130"
10007157,The University of Sheffield,"2,245","1,250","3,495"
10006022,Solent University,570,110,685
10007158,The University of Southampton,"1,740",995,"2,735"
10006299,Staffordshire University,485,290,775
10007804,The University of Stirling,570,475,"1,045"
10037449,University of St Mark and St John,80,15,90
10008010,Stranmillis University College,45,10,55
10007805,The University of Strathclyde,"1,105",590,"1,695"
10014001,University of Suffolk,200,20,225
10007159,The University of Sunderland,890,50,940
10007160,The University of Surrey,"1,030",440,"1,470"
10007806,The University of Sussex,"1,115",880,"2,000"
10007855,Swansea University,"1,275",460,"1,730"
10007161,Teesside University,595,125,720
10008017,Trinity Laban Conservatoire of Music and Dance,405,20,425
10007858,University of Wales Trinity Saint David,530,220,750
10007114,University of the Highlands and Islands,65,25,95
10007807,Ulster University,780,520,"1,300"
10007784,University College London,"7,450",250,"7,700"
10007793,University of South Wales,"1,610",120,"1,730"
10008574,The University of Wales (central functions),30,5,30
10007163,The University of Warwick,"1,650",980,"2,635"
10007164,"University of the West of England, Bristol","1,400",490,"1,895"
10007800,The University of the West of Scotland,560,45,605
10006566,The University of West London,410,605,"1,015"
10007165,The University of Westminster,"1,520",125,"1,645"
10003614,The University of Winchester,430,280,710
10007166,The University of Wolverhampton,840,70,910
10007139,University of Worcester,475,490,965
10007657,Writtle University College,90,10,105
10007713,York St John University,340,40,380
10007167,The University of York,"1,365",575,"1,935"
,Total,"144,315","72,750","217,065"
