UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007782,St George's Hospital Medical School,245,225,470
10008026,St Mary's University College,50,10,60
10007843,"St Mary's University, Twickenham",190,190,380
10007156,The University of Salford,"1,215",120,"1,335"
10007780,The School of Oriental and African Studies,440,355,795
10005700,SRUC,285,60,345
10005790,Sheffield Hallam University,"2,050",110,"2,160"
10007157,The University of Sheffield,"1,905","1,185","3,090"
10006022,Solent University,650,90,740
10007158,The University of Southampton,"1,760","1,235","2,995"
10006299,Staffordshire University,600,380,980
10007804,The University of Stirling,705,235,940
10037449,University of St Mark and St John,95,10,105
10008010,Stranmillis University College,50,10,60
10007805,The University of Strathclyde,925,500,"1,430"
10014001,University Campus Suffolk,165,15,175
10007159,The University of Sunderland,410,390,805
10007160,The University of Surrey,980,440,"1,415"
10007806,The University of Sussex,"1,285",420,"1,705"
10007855,Swansea University,795,565,"1,360"
10007161,Teesside University,610,85,700
10008017,Trinity Laban Conservatoire of Music and Dance,290,40,325
10007858,University of Wales Trinity Saint David,625,70,700
10007114,University of the Highlands and Islands,25,10,35
10007807,University of Ulster,"1,180",490,"1,670"
10007784,University College London,"6,305",295,"6,600"
10007793,University of South Wales,"1,070",825,"1,900"
10008574,The University of Wales (central functions),45,5,50
10007163,The University of Warwick,"1,350","1,250","2,600"
10007164,"University of the West of England, Bristol","1,165",415,"1,580"
10007800,The University of the West of Scotland,555,60,610
10006566,The University of West London,310,565,875
10007165,The University of Westminster,920,545,"1,470"
10003614,The University of Winchester,365,280,645
10007166,The University of Wolverhampton,750,60,810
10007139,University of Worcester,420,230,645
10007657,Writtle College,100,15,115
10007713,York St John University,300,20,315
10007167,The University of York,"1,165",510,"1,675"
,Total,"128,300","70,035","198,335"
