UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007783,The University of Aberdeen,"1,435",20,"1,460"
10007849,Abertay University,185,35,220
10007856,Aberystwyth University,540,250,795
10000291,Anglia Ruskin University,815,60,875
10007759,Aston University,455,275,730
10007857,Bangor University,585,415,"1,000"
10000571,Bath Spa University,355,250,605
10007850,The University of Bath,840,525,"1,370"
10007152,University of Bedfordshire,500,90,590
10005343,Queen's University Belfast,"1,065",600,"1,665"
10007760,Birkbeck College,680,450,"1,125"
10007140,Birmingham City University,"1,765",105,"1,875"
10006840,The University of Birmingham,"1,985","1,640","3,625"
10000712,University College Birmingham,290,15,300
10007811,Bishop Grosseteste University,90,10,95
10006841,The University of Bolton,320,30,345
10000385,The Arts University Bournemouth,350,10,365
10000824,Bournemouth University,850,105,960
10007785,The University of Bradford,515,70,590
10000886,The University of Brighton,"1,170",575,"1,740"
10000936,The University College of Osteopathy,100,0,100
10007786,The University of Bristol,"2,550",630,"3,175"
10000961,Brunel University London,590,545,"1,135"
10000975,Buckinghamshire New University,335,120,460
10007787,The University of Buckingham,145,20,165
10007788,The University of Cambridge,"3,795","2,170","5,965"
10003324,The Institute of Cancer Research,280,385,665
10001143,Canterbury Christ Church University,665,140,800
10007814,Cardiff University,"2,485",980,"3,465"
10007854,Cardiff Metropolitan University,680,60,740
10007141,The University of Central Lancashire,"1,065",340,"1,405"
10007848,University of Chester,415,215,630
10007137,The University of Chichester,380,180,560
10001478,"City, University of London","1,015","1,090","2,105"
10001653,Conservatoire for Dance and Drama,240,30,270
10007761,Courtauld Institute of Art,35,10,40
10001726,Coventry University,"1,725",680,"2,400"
10007822,Cranfield University,525,155,680
10006427,University for the Creative Arts,360,20,380
10007842,University of Cumbria,370,150,515
10001883,De Montfort University,"1,190",210,"1,395"
10007851,University of Derby,"1,235",75,"1,310"
10007852,The University of Dundee,"1,035",390,"1,425"
10007143,University of Durham,"1,160",545,"1,700"
10007789,The University of East Anglia,"1,045",755,"1,800"
10007144,The University of East London,635,280,920
10007823,Edge Hill University,560,460,"1,020"
10007772,Edinburgh Napier University,780,135,915
10007790,The University of Edinburgh,"2,970","1,680","4,650"
10007791,The University of Essex,765,425,"1,195"
10007792,The University of Exeter,"1,275",785,"2,055"
10008640,Falmouth University,290,10,300
10004511,The National Film and Television School,20,0,20
10007762,Glasgow Caledonian University,670,120,790
10002681,Glasgow School of Art,205,15,215
10007794,The University of Glasgow,"2,825","1,015","3,840"
10007145,University of Gloucestershire,410,245,655
10007833,Glyndŵr University,195,35,230
10002718,Goldsmiths College,715,315,"1,030"
10007146,The University of Greenwich,820,400,"1,215"
10007825,Guildhall School of Music and Drama,535,145,680
10040812,Harper Adams University,155,10,160
10007764,Heriot-Watt University,615,225,840
10007147,University of Hertfordshire,"1,580",145,"1,720"
10007765,Heythrop College,35,25,60
10007148,The University of Huddersfield,795,105,895
10007149,The University of Hull,835,200,"1,035"
10003270,"Imperial College of Science, Technology and Medicine","2,050","2,280","4,330"
10007767,Keele University,625,185,810
10007150,The University of Kent,835,590,"1,425"
10003645,King's College London,"2,050","2,790","4,840"
10003678,Kingston University,990,120,"1,110"
10007768,The University of Lancaster,975,960,"1,930"
10003854,Leeds Arts University,145,20,165
10003861,Leeds Beckett University,950,485,"1,435"
10007795,The University of Leeds,"2,460","1,025","3,485"
10003863,Leeds Trinity University,155,25,180
10007796,The University of Leicester,"1,300",345,"1,645"
10007151,The University of Lincoln,760,440,"1,205"
10003956,Liverpool Hope University,265,35,295
10003957,Liverpool John Moores University,"1,065",370,"1,435"
10003945,The Liverpool Institute for Performing Arts,60,10,75
10006842,The University of Liverpool,"1,785","1,050","2,835"
10003958,Liverpool School of Tropical Medicine,65,135,200
10007162,"University of the Arts, London","1,035","2,235","3,275"
10007769,London Business School,110,5,110
10007797,University of London (Institutes and activities),45,50,95
10004048,London Metropolitan University,415,20,435
10004078,London South Bank University,640,470,"1,110"
10004063,London School of Economics and Political Science,780,930,"1,705"
10007771,London School of Hygiene and Tropical Medicine,285,555,840
10004113,Loughborough University,"1,005",530,"1,535"
10004180,The Manchester Metropolitan University,"1,525","1,030","2,555"
10007798,The University of Manchester,"2,635","2,560","5,195"
10004351,Middlesex University,880,165,"1,040"
10007799,Newcastle University,"1,655","1,255","2,910"
10007832,Newman University,155,10,165
10007138,The University of Northampton,535,215,755
10001282,University of Northumbria at Newcastle,"1,220",160,"1,385"
10004775,Norwich University of the Arts,175,30,200
10007154,University of Nottingham,"2,380","1,040","3,420"
10004797,The Nottingham Trent University,"1,760",115,"1,875"
10007773,The Open University,855,"4,400","5,255"
10004930,Oxford Brookes University,"1,180",140,"1,320"
10007774,The University of Oxford,"2,260","4,505","6,770"
10005127,Arts University Plymouth,135,5,135
10007801,University of Plymouth,935,410,"1,345"
10007155,The University of Portsmouth,"1,160",500,"1,660"
10005337,"Queen Margaret University, Edinburgh",190,65,250
10007775,Queen Mary University of London,"1,525",860,"2,385"
10005389,Ravensbourne University London,90,125,215
10007802,The University of Reading,955,745,"1,700"
10005500,Robert Gordon University,500,180,680
10007776,Roehampton University,505,40,545
10005523,Rose Bruford College of Theatre and Performance,50,25,75
10007835,Royal Academy of Music,225,70,295
10005545,Royal Agricultural University,60,5,65
10007777,Royal College of Art,140,30,170
10007778,Royal College of Music,270,20,290
10005561,Royal Conservatoire of Scotland,355,20,375
10007816,The Royal Central School of Speech and Drama,60,15,75
10005553,Royal Holloway and Bedford New College,685,540,"1,230"
10007837,Royal Northern College of Music,325,5,330
10007779,The Royal Veterinary College,185,105,295
10007803,The University of St. Andrews,700,465,"1,165"
10007782,"St George's, University of London",305,145,450
10008026,St Mary's University College,40,20,60
10007843,"St Mary's University, Twickenham",280,195,470
10007156,The University of Salford,880,120,995
10007780,SOAS University of London,410,375,790
10005700,SRUC,275,40,315
10005790,Sheffield Hallam University,"1,905",95,"2,005"
10007157,The University of Sheffield,"2,105","1,165","3,270"
10006022,Solent University,630,120,745
10007158,The University of Southampton,"1,875","1,160","3,030"
10006299,Staffordshire University,555,340,895
10007804,The University of Stirling,610,305,915
10037449,University of St Mark and St John,90,10,100
10008010,Stranmillis University College,45,10,55
10007805,The University of Strathclyde,"1,005",575,"1,580"
10014001,University of Suffolk,190,10,200
10007159,The University of Sunderland,490,290,780
10007160,The University of Surrey,935,490,"1,425"
10007806,The University of Sussex,"1,180",685,"1,865"
10007855,Swansea University,975,445,"1,425"
10007161,Teesside University,615,115,730
10008017,Trinity Laban Conservatoire of Music and Dance,325,45,370
10007858,University of Wales Trinity Saint David,655,90,745
10007114,University of the Highlands and Islands,35,5,40
10007807,Ulster University,820,440,"1,260"
10007784,University College London,"7,070",345,"7,415"
10007793,University of South Wales,"1,680",125,"1,805"
10008574,The University of Wales (central functions),40,5,45
10007163,The University of Warwick,"1,460","1,395","2,855"
10007164,"University of the West of England, Bristol","1,235",410,"1,645"
10007800,The University of the West of Scotland,515,45,560
10006566,The University of West London,365,595,960
10007165,The University of Westminster,"1,095",675,"1,770"
10003614,The University of Winchester,395,335,730
10007166,The University of Wolverhampton,805,35,840
10007139,University of Worcester,460,330,790
10007657,Writtle University College,105,10,115
10007713,York St John University,310,15,325
10007167,The University of York,"1,250",545,"1,790"
,Total,"137,025","69,850","206,870"
